model_family,configuration_id,configuration_parameters,compliance_score_arithmetic,compliance_score_geometric,compliance_score_rms,accuracy_score,robustness_score,fairness_score,explainability_score,sharpe,max_drawdown,avg_turnover,ann_return,ann_vol,sortino,calmar
ridge,ridge_01,alpha=0.0001,0.548841,0.366867,0.613251,0.442259,0.319188,0.8156,0.618317,0.635326,0.225436,0.799159,0.138497,0.217994,0.82091,0.614352
ridge,ridge_02,alpha=0.000145635,0.548841,0.366867,0.613251,0.442259,0.319188,0.8156,0.618317,0.635326,0.225436,0.799159,0.138497,0.217994,0.82219,0.614352
ridge,ridge_03,alpha=0.000212095,0.548841,0.366867,0.613251,0.442259,0.319188,0.8156,0.618317,0.635326,0.225436,0.799159,0.138497,0.217994,0.821158,0.614352
ridge,ridge_04,alpha=0.000308884,0.548841,0.366867,0.613251,0.442259,0.319188,0.8156,0.618317,0.635326,0.225436,0.799159,0.138497,0.217994,0.82091,0.614352
ridge,ridge_05,alpha=0.000449843,0.548841,0.366867,0.613251,0.442259,0.319188,0.8156,0.618317,0.635326,0.225436,0.799159,0.138497,0.217994,0.821409,0.614352
ridge,ridge_06,alpha=0.000655129,0.548841,0.366867,0.613251,0.442259,0.319188,0.8156,0.618317,0.635325,0.225436,0.799159,0.138497,0.217994,0.820429,0.614352
ridge,ridge_07,alpha=0.000954095,0.548841,0.366867,0.613251,0.442259,0.319188,0.8156,0.618317,0.635325,0.225436,0.799159,0.138497,0.217994,0.820429,0.614352
ridge,ridge_08,alpha=0.0013895,0.548841,0.366867,0.613251,0.442259,0.319188,0.8156,0.618317,0.635325,0.225436,0.799159,0.138497,0.217994,0.82091,0.614351
ridge,ridge_09,alpha=0.00202359,0.548841,0.366867,0.613251,0.442259,0.319188,0.8156,0.618317,0.635325,0.225436,0.799159,0.138497,0.217994,0.821157,0.614351
ridge,ridge_10,alpha=0.00294705,0.548841,0.366867,0.613251,0.442259,0.319188,0.8156,0.618317,0.635325,0.225436,0.799159,0.138497,0.217994,0.821664,0.614351
ridge,ridge_11,alpha=0.00429193,0.548841,0.366867,0.613251,0.442259,0.319188,0.8156,0.618317,0.635324,0.225436,0.799159,0.138497,0.217994,0.821156,0.61435
ridge,ridge_12,alpha=0.00625055,0.548841,0.366867,0.613251,0.442259,0.319188,0.8156,0.618317,0.635323,0.225436,0.799159,0.138497,0.217994,0.822187,0.61435
ridge,ridge_13,alpha=0.00910298,0.548841,0.366867,0.613251,0.442259,0.319188,0.8156,0.618317,0.635322,0.225436,0.799159,0.138497,0.217994,0.820191,0.614348
ridge,ridge_14,alpha=0.0132571,0.548842,0.366867,0.613251,0.442261,0.319188,0.8156,0.618318,0.635321,0.225437,0.799159,0.138496,0.217994,0.820904,0.614347
ridge,ridge_15,alpha=0.019307,0.548842,0.366867,0.613251,0.442261,0.319188,0.8156,0.618318,0.635319,0.225437,0.799159,0.138496,0.217994,0.820658,0.614345
