figure_scope,compliance_score_type,performance_metric,n_configurations,spearman_rho,spearman_p_value,best_safe_configuration_id,best_safe_model_family,best_safe_compliance_score,best_safe_performance_value,best_perf_configuration_id,best_perf_model_family,best_perf_compliance_score,best_performance_value,same_configuration_flag
all_models,Arithmetic,sharpe,150,0.5968,0.0,xgboost_47,xgboost,0.628881,1.8122,xgboost_47,xgboost,0.628881,1.8122,True
all_models,Arithmetic,max_drawdown,150,-0.3497,0.0,xgboost_47,xgboost,0.628881,0.1628,mlp_45,mlp,0.608979,0.1554,False
all_models,Arithmetic,avg_turnover,150,0.6108,0.0,xgboost_47,xgboost,0.628881,0.9196,xgboost_18,xgboost,0.573275,0.5572,False
all_models,Geometric,sharpe,150,0.6175,0.0,xgboost_47,xgboost,0.528009,1.8122,xgboost_47,xgboost,0.528009,1.8122,True
all_models,Geometric,max_drawdown,150,-0.3389,0.0,xgboost_47,xgboost,0.528009,0.1628,mlp_45,mlp,0.508782,0.1554,False
all_models,Geometric,avg_turnover,150,0.598,0.0,xgboost_47,xgboost,0.528009,0.9196,xgboost_18,xgboost,0.467369,0.5572,False
all_models,RMS,sharpe,150,0.417,0.0,xgboost_47,xgboost,0.66055,1.8122,xgboost_47,xgboost,0.66055,1.8122,True
all_models,RMS,max_drawdown,150,-0.3545,0.0,xgboost_47,xgboost,0.66055,0.1628,mlp_45,mlp,0.642708,0.1554,False
all_models,RMS,avg_turnover,150,0.6687,0.0,xgboost_47,xgboost,0.66055,0.9196,xgboost_18,xgboost,0.616739,0.5572,False
ridge,Arithmetic,sharpe,50,0.4983,0.0002,ridge_32,ridge,0.548964,0.632,ridge_01,ridge,0.548904,0.6353,False
ridge,Arithmetic,max_drawdown,50,0.3934,0.0047,ridge_32,ridge,0.548964,0.2255,ridge_49,ridge,0.528355,0.181,False
ridge,Arithmetic,avg_turnover,50,-0.3391,0.016,ridge_32,ridge,0.548964,0.7991,ridge_45,ridge,0.538191,0.794,False
ridge,Geometric,sharpe,50,0.6966,0.0,ridge_29,ridge,0.366755,0.6342,ridge_01,ridge,0.366743,0.6353,False
ridge,Geometric,max_drawdown,50,0.176,0.2214,ridge_29,ridge,0.366755,0.2255,ridge_49,ridge,0.336809,0.181,False
ridge,Geometric,avg_turnover,50,-0.1334,0.3557,ridge_29,ridge,0.366755,0.7991,ridge_45,ridge,0.354025,0.794,False
ridge,RMS,sharpe,50,0.5622,0.0,ridge_32,ridge,0.613624,0.632,ridge_01,ridge,0.613561,0.6353,False
ridge,RMS,max_drawdown,50,0.3309,0.0189,ridge_32,ridge,0.613624,0.2255,ridge_49,ridge,0.596389,0.181,False
ridge,RMS,avg_turnover,50,-0.2879,0.0426,ridge_32,ridge,0.613624,0.7991,ridge_45,ridge,0.603109,0.794,False
xgboost,Arithmetic,sharpe,50,0.0895,0.5367,xgboost_47,xgboost,0.628881,1.8122,xgboost_47,xgboost,0.628881,1.8122,True
xgboost,Arithmetic,max_drawdown,50,-0.2481,0.0823,xgboost_47,xgboost,0.628881,0.1628,xgboost_47,xgboost,0.628881,0.1628,True
xgboost,Arithmetic,avg_turnover,50,0.7787,0.0,xgboost_47,xgboost,0.628881,0.9196,xgboost_18,xgboost,0.573275,0.5572,False
xgboost,Geometric,sharpe,50,0.0513,0.7233,xgboost_47,xgboost,0.528009,1.8122,xgboost_47,xgboost,0.528009,1.8122,True
xgboost,Geometric,max_drawdown,50,-0.2384,0.0954,xgboost_47,xgboost,0.528009,0.1628,xgboost_47,xgboost,0.528009,0.1628,True
xgboost,Geometric,avg_turnover,50,0.8357,0.0,xgboost_47,xgboost,0.528009,0.9196,xgboost_18,xgboost,0.467369,0.5572,False
xgboost,RMS,sharpe,50,0.1237,0.3919,xgboost_47,xgboost,0.66055,1.8122,xgboost_47,xgboost,0.66055,1.8122,True
xgboost,RMS,max_drawdown,50,-0.2585,0.0699,xgboost_47,xgboost,0.66055,0.1628,xgboost_47,xgboost,0.66055,0.1628,True
xgboost,RMS,avg_turnover,50,0.6981,0.0,xgboost_47,xgboost,0.66055,0.9196,xgboost_18,xgboost,0.616739,0.5572,False
mlp,Arithmetic,sharpe,50,0.1524,0.2908,mlp_30,mlp,0.610569,1.1904,mlp_14,mlp,0.603024,1.7729,False
mlp,Arithmetic,max_drawdown,50,-0.5426,0.0,mlp_30,mlp,0.610569,0.1998,mlp_45,mlp,0.608979,0.1554,False
mlp,Arithmetic,avg_turnover,50,0.7718,0.0,mlp_30,mlp,0.610569,0.955,mlp_27,mlp,0.55125,0.769,False
mlp,Geometric,sharpe,50,0.1506,0.2964,mlp_30,mlp,0.511393,1.1904,mlp_14,mlp,0.502186,1.7729,False
mlp,Geometric,max_drawdown,50,-0.5216,0.0001,mlp_30,mlp,0.511393,0.1998,mlp_45,mlp,0.508782,0.1554,False
mlp,Geometric,avg_turnover,50,0.7743,0.0,mlp_30,mlp,0.511393,0.955,mlp_27,mlp,0.381461,0.769,False
mlp,RMS,sharpe,50,0.1044,0.4704,mlp_29,mlp,0.643386,0.8586,mlp_14,mlp,0.638411,1.7729,False
mlp,RMS,max_drawdown,50,-0.5104,0.0002,mlp_29,mlp,0.643386,0.1557,mlp_45,mlp,0.642708,0.1554,False
mlp,RMS,avg_turnover,50,0.7499,0.0,mlp_29,mlp,0.643386,0.9396,mlp_27,mlp,0.620707,0.769,False
