rebal_date,turnover,n_stocks_prev,n_stocks_curr
2023-02-01,0.414326,10,10
2023-03-01,0.466897,10,10
2023-04-03,0.319374,10,10
2023-05-01,0.406833,10,10
2023-06-01,0.303565,10,10
2023-07-03,0.32125,10,10
2023-08-01,0.530006,10,10
2023-09-01,0.455475,10,10
2023-10-02,0.505456,10,10
2023-11-01,0.340207,10,10
2023-12-01,0.402121,10,10
2024-01-01,0.42044,10,10
2024-02-01,0.477476,10,10
2024-03-01,0.472883,10,10
2024-04-01,0.486568,10,10
2024-05-01,0.475946,10,10
2024-06-03,0.295237,10,10
2024-07-01,0.502586,10,10
2024-08-01,0.430139,10,10
2024-09-02,0.447902,10,10
2024-10-01,0.506723,10,10
2024-11-01,0.763444,10,10
2024-12-02,0.695379,10,10
2025-01-01,0.276231,10,10
2025-02-03,0.402089,10,10
2025-03-03,0.483374,10,10
2025-04-01,0.697916,10,10
2025-05-01,0.671123,10,10
2025-06-02,0.246395,10,10
2025-07-01,0.254396,10,10
2025-08-01,0.265274,10,10
2025-09-01,0.135722,10,10
2025-10-01,0.594876,10,10
2025-11-03,0.256259,10,10
2025-12-01,0.357267,10,10
