metric,value
n_rows_before_drop,73260
n_rows_after_drop,48840
n_rows_dropped,24420
n_unique_dates,120
n_unique_tickers,407
min_date,2016-01-01
max_date,2025-12-01
pct_missing_target_rank,0.0
market_cap_included,True
final_feature_list,ret_1w|ret_1m|ret_3m|ret_6m|ret_12m|vol_1m|vol_3m|vol_ratio|amihud|log_mktcap
pct_missing_target_raw,0.0
pct_missing_ret_1w,0.0
pct_missing_ret_1m,0.0
pct_missing_ret_3m,0.0
pct_missing_ret_6m,0.0
pct_missing_ret_12m,0.0
pct_missing_vol_1m,0.0
pct_missing_vol_3m,0.0
pct_missing_vol_ratio,0.0
pct_missing_amihud,0.0
pct_missing_log_mktcap,0.0
