date,year,spearman_ic,pearson_ic,r2_rank,n_stocks
2023-01-02,2023,0.1804,0.1899,0.0345,407
2023-02-01,2023,0.0596,0.0578,-0.0092,407
2023-03-01,2023,-0.15,-0.1609,-0.0684,407
2023-04-03,2023,-0.0321,-0.0481,-0.0446,407
2023-05-01,2023,0.0689,0.0606,-0.0089,407
2023-06-01,2023,0.0539,0.0449,-0.0096,407
2023-07-03,2023,0.1157,0.1152,0.0099,407
2023-08-01,2023,-0.0132,0.0057,-0.0243,407
2023-09-01,2023,-0.0061,0.0018,-0.0192,407
2023-10-02,2023,-0.1216,-0.0963,-0.0415,407
2023-11-01,2023,0.1695,0.1839,0.0334,407
2023-12-01,2023,-0.0145,0.0109,-0.0145,407
2024-01-01,2024,-0.0945,-0.0916,-0.0564,407
2024-02-01,2024,-0.0616,-0.0754,-0.0493,407
2024-03-01,2024,0.0259,0.0133,-0.0193,407
2024-04-01,2024,0.0523,0.0808,-0.0003,407
2024-05-01,2024,0.0225,0.0332,-0.0082,407
2024-06-03,2024,-0.1141,-0.1222,-0.0621,407
2024-07-01,2024,0.0972,0.0634,-0.0067,407
2024-08-01,2024,-0.0876,-0.104,-0.0536,407
2024-09-02,2024,-0.0518,-0.056,-0.0365,407
2024-10-01,2024,-0.0957,-0.1003,-0.0574,407
2024-11-01,2024,-0.1453,-0.1368,-0.0612,407
2024-12-02,2024,-0.0065,-0.0105,-0.0239,407
2025-01-01,2025,0.0671,0.0484,-0.0056,407
2025-02-03,2025,0.0089,0.0405,-0.0075,407
2025-03-03,2025,-0.0659,-0.0847,-0.038,407
2025-04-01,2025,-0.0518,-0.0503,-0.0288,407
2025-05-01,2025,0.1809,0.1821,0.0291,407
2025-06-02,2025,0.0348,0.0371,-0.0073,407
2025-07-01,2025,-0.1186,-0.1167,-0.0556,407
2025-08-01,2025,0.0604,0.0902,0.0069,407
2025-09-01,2025,-0.0377,-0.0191,-0.0253,407
2025-10-01,2025,-0.0035,-0.0098,-0.0185,407
2025-11-03,2025,0.0476,0.0544,-0.0028,407
