date,corr_with_baseline
2023-01-02,-0.2087
2023-02-01,-0.0052
2023-03-01,-0.1548
2023-04-03,-0.244
2023-05-01,-0.0414
2023-06-01,-0.282
2023-07-03,-0.272
2023-08-01,0.099
2023-09-01,-0.153
2023-10-02,-0.2006
2023-11-01,-0.1967
2023-12-01,0.0572
2024-01-01,-0.288
2024-02-01,-0.4374
2024-03-01,-0.0074
2024-04-01,-0.2175
2024-05-01,0.0145
2024-06-03,-0.3762
2024-07-01,-0.0979
2024-08-01,-0.3442
2024-09-02,-0.2173
2024-10-01,-0.2115
2024-11-01,-0.2574
2024-12-02,-0.2519
2025-01-01,-0.1495
2025-02-03,-0.1318
2025-03-03,-0.1065
2025-04-01,-0.1558
2025-05-01,-0.3238
2025-06-02,-0.0576
2025-07-01,-0.1204
2025-08-01,-0.1357
2025-09-01,0.0365
2025-10-01,-0.2385
2025-11-03,-0.0261
2025-12-01,-0.1213
