date,n_iter
2023-01-02,20
2023-02-01,27
2023-03-01,22
2023-04-03,28
2023-05-01,22
2023-06-01,28
2023-07-03,16
2023-08-01,23
2023-09-01,20
2023-10-02,23
2023-11-01,20
2023-12-01,27
2024-01-01,27
2024-02-01,33
2024-03-01,24
2024-04-01,25
2024-05-01,29
2024-06-03,26
2024-07-01,25
2024-08-01,22
2024-09-02,29
2024-10-01,19
2024-11-01,30
2024-12-02,23
2025-01-01,20
2025-02-03,17
2025-03-03,26
2025-04-01,18
2025-05-01,23
2025-06-02,28
2025-07-01,16
2025-08-01,33
2025-09-01,32
2025-10-01,27
2025-11-03,21
2025-12-01,24
