date,year,spearman_ic,pearson_ic,r2_rank,n_stocks
2023-01-02,2023,0.4178,0.434,0.054,407
2023-02-01,2023,0.0196,0.0107,-0.0023,407
2023-03-01,2023,-0.1944,-0.1971,-0.0302,407
2023-04-03,2023,0.0056,-0.0031,-0.0056,407
2023-05-01,2023,0.0427,0.0497,0.002,407
2023-06-01,2023,0.1008,0.1043,0.0095,407
2023-07-03,2023,0.0217,0.0233,-0.0016,407
2023-08-01,2023,-0.0198,0.0009,-0.0041,407
2023-09-01,2023,-0.0783,-0.0759,-0.0141,407
2023-10-02,2023,-0.1862,-0.2032,-0.0324,407
2023-11-01,2023,0.2124,0.225,0.0257,407
2023-12-01,2023,-0.0847,-0.0983,-0.0156,407
2024-01-01,2024,-0.1065,-0.088,-0.0143,407
2024-02-01,2024,-0.1046,-0.1057,-0.0179,407
2024-03-01,2024,0.1575,0.1513,0.0145,407
2024-04-01,2024,-0.0225,-0.0483,-0.0093,407
2024-05-01,2024,-0.085,-0.0725,-0.0132,407
2024-06-03,2024,-0.1935,-0.1892,-0.0267,407
2024-07-01,2024,0.1057,0.0962,0.0079,407
2024-08-01,2024,-0.1043,-0.108,-0.0166,407
2024-09-02,2024,0.0805,0.0762,0.0055,407
2024-10-01,2024,-0.0523,-0.0543,-0.0086,407
2024-11-01,2024,-0.2117,-0.23,-0.0292,407
2024-12-02,2024,-0.0285,-0.0035,-0.0031,407
2025-01-01,2025,-0.0455,-0.0378,-0.0068,407
2025-02-03,2025,-0.0743,-0.077,-0.0105,407
2025-03-03,2025,-0.1266,-0.1337,-0.0177,407
2025-04-01,2025,-0.0767,-0.0587,-0.0081,407
2025-05-01,2025,0.0552,0.0681,0.0041,407
2025-06-02,2025,-0.0441,-0.0429,-0.0058,407
2025-07-01,2025,-0.1655,-0.1744,-0.0176,407
2025-08-01,2025,0.078,0.0858,0.0058,407
2025-09-01,2025,-0.0558,-0.0655,-0.0081,407
2025-10-01,2025,-0.0226,-0.0146,-0.0042,407
2025-11-03,2025,0.0263,0.0205,-0.0003,407
