date,corr_with_baseline
2023-01-02,-0.4089
2023-02-01,-0.2544
2023-03-01,-0.389
2023-04-03,-0.4252
2023-05-01,-0.4771
2023-06-01,-0.4315
2023-07-03,-0.4325
2023-08-01,-0.248
2023-09-01,-0.5012
2023-10-02,-0.3529
2023-11-01,-0.512
2023-12-01,-0.3985
2024-01-01,-0.434
2024-02-01,-0.5904
2024-03-01,-0.5099
2024-04-01,-0.4555
2024-05-01,-0.4233
2024-06-03,-0.4856
2024-07-01,-0.4414
2024-08-01,-0.4524
2024-09-02,-0.5026
2024-10-01,-0.4044
2024-11-01,-0.4673
2024-12-02,-0.475
2025-01-01,-0.3157
2025-02-03,-0.3581
2025-03-03,-0.3435
2025-04-01,-0.4401
2025-05-01,-0.4251
2025-06-02,-0.4443
2025-07-01,-0.4359
2025-08-01,-0.4563
2025-09-01,-0.2829
2025-10-01,-0.4445
2025-11-03,-0.3482
2025-12-01,-0.3648
