date,year,spearman_ic,pearson_ic,r2_rank,n_stocks
2023-01-02,2023,0.3906,0.3739,0.0205,407
2023-02-01,2023,-0.0077,-0.0388,-0.0068,407
2023-03-01,2023,-0.147,-0.1847,-0.0165,407
2023-04-03,2023,-0.0179,-0.0537,-0.005,407
2023-05-01,2023,0.0341,0.0198,-0.0012,407
2023-06-01,2023,0.0738,0.0973,0.0033,407
2023-07-03,2023,0.0639,0.093,0.0069,407
2023-08-01,2023,0.0439,0.0085,0.0001,407
2023-09-01,2023,-0.0616,-0.045,-0.0026,407
2023-10-02,2023,-0.134,-0.1568,-0.0085,407
2023-11-01,2023,0.1745,0.1288,0.0054,407
2023-12-01,2023,-0.0119,0.0931,0.0047,407
2024-01-01,2024,-0.123,-0.1198,-0.0067,407
2024-02-01,2024,-0.073,-0.009,-0.0003,407
2024-03-01,2024,0.0331,0.0139,0.0002,407
2024-04-01,2024,-0.032,0.018,0.0003,407
2024-05-01,2024,-0.0224,-0.0041,-0.0005,407
2024-06-03,2024,-0.1949,-0.1779,-0.0054,407
2024-07-01,2024,0.1263,0.0278,0.0001,407
2024-08-01,2024,0.0056,-0.0255,-0.0017,407
2024-09-02,2024,0.1596,0.1617,0.0068,407
2024-10-01,2024,-0.0566,-0.0708,-0.004,407
2024-11-01,2024,-0.2084,-0.1514,-0.0019,407
2024-12-02,2024,0.0551,0.067,0.0002,407
2025-01-01,2025,0.0228,0.0055,-0.0003,407
2025-02-03,2025,0.0685,-0.0414,-0.0001,407
2025-03-03,2025,-0.0412,-0.0007,-0.0001,407
2025-04-01,2025,-0.0078,0.0529,0.0001,407
2025-05-01,2025,0.1065,0.0874,0.0002,407
2025-06-02,2025,-0.0352,0.1139,0.0037,407
2025-07-01,2025,-0.0153,0.0415,0.0005,407
2025-08-01,2025,0.1286,0.1572,0.0018,407
2025-09-01,2025,0.0151,-0.0251,-0.0043,407
2025-10-01,2025,-0.1628,-0.1003,-0.0123,407
2025-11-03,2025,0.0239,0.0644,0.0031,407
