date,corr_with_baseline
2023-01-02,-0.4351
2023-02-01,-0.2232
2023-03-01,-0.3927
2023-04-03,-0.2494
2023-05-01,-0.4122
2023-06-01,-0.3015
2023-07-03,-0.4265
2023-08-01,-0.0427
2023-09-01,-0.3518
2023-10-02,-0.2112
2023-11-01,-0.3638
2023-12-01,-0.4093
2024-01-01,-0.3626
2024-02-01,-0.4529
2024-03-01,-0.244
2024-04-01,-0.2855
2024-05-01,-0.2633
2024-06-03,-0.342
2024-07-01,-0.2856
2024-08-01,-0.304
2024-09-02,-0.3718
2024-10-01,-0.2436
2024-11-01,-0.3076
2024-12-02,-0.322
2025-01-01,-0.2094
2025-02-03,-0.3091
2025-03-03,-0.106
2025-04-01,-0.1324
2025-05-01,-0.256
2025-06-02,-0.2144
2025-07-01,-0.2022
2025-08-01,-0.3056
2025-09-01,-0.2806
2025-10-01,-0.3716
2025-11-03,-0.1493
2025-12-01,-0.2895
