date,n_estimators,max_depth,learning_rate,model_path
2023-01-02,61,3,0.01,data\results\step5\xgboost\models\xgboost_model_2023-01-02.pkl
2023-02-01,51,3,0.05,data\results\step5\xgboost\models\xgboost_model_2023-02-01.pkl
2023-03-01,22,3,0.05,data\results\step5\xgboost\models\xgboost_model_2023-03-01.pkl
2023-04-03,11,6,0.05,data\results\step5\xgboost\models\xgboost_model_2023-04-03.pkl
2023-05-01,52,3,0.05,data\results\step5\xgboost\models\xgboost_model_2023-05-01.pkl
2023-06-01,5,6,0.05,data\results\step5\xgboost\models\xgboost_model_2023-06-01.pkl
2023-07-03,40,3,0.05,data\results\step5\xgboost\models\xgboost_model_2023-07-03.pkl
2023-08-01,2,6,0.05,data\results\step5\xgboost\models\xgboost_model_2023-08-01.pkl
2023-09-01,9,3,0.05,data\results\step5\xgboost\models\xgboost_model_2023-09-01.pkl
2023-10-02,11,3,0.05,data\results\step5\xgboost\models\xgboost_model_2023-10-02.pkl
2023-11-01,9,3,0.05,data\results\step5\xgboost\models\xgboost_model_2023-11-01.pkl
2023-12-01,13,3,0.05,data\results\step5\xgboost\models\xgboost_model_2023-12-01.pkl
2024-01-01,60,3,0.01,data\results\step5\xgboost\models\xgboost_model_2024-01-01.pkl
2024-02-01,4,3,0.05,data\results\step5\xgboost\models\xgboost_model_2024-02-01.pkl
2024-03-01,2,6,0.05,data\results\step5\xgboost\models\xgboost_model_2024-03-01.pkl
2024-04-01,6,3,0.05,data\results\step5\xgboost\models\xgboost_model_2024-04-01.pkl
2024-05-01,8,4,0.05,data\results\step5\xgboost\models\xgboost_model_2024-05-01.pkl
2024-06-03,6,3,0.05,data\results\step5\xgboost\models\xgboost_model_2024-06-03.pkl
2024-07-01,1,6,0.01,data\results\step5\xgboost\models\xgboost_model_2024-07-01.pkl
2024-08-01,9,4,0.05,data\results\step5\xgboost\models\xgboost_model_2024-08-01.pkl
2024-09-02,57,3,0.01,data\results\step5\xgboost\models\xgboost_model_2024-09-02.pkl
2024-10-01,69,3,0.01,data\results\step5\xgboost\models\xgboost_model_2024-10-01.pkl
2024-11-01,2,3,0.05,data\results\step5\xgboost\models\xgboost_model_2024-11-01.pkl
2024-12-02,2,3,0.01,data\results\step5\xgboost\models\xgboost_model_2024-12-02.pkl
2025-01-01,12,3,0.05,data\results\step5\xgboost\models\xgboost_model_2025-01-01.pkl
2025-02-03,1,4,0.01,data\results\step5\xgboost\models\xgboost_model_2025-02-03.pkl
2025-03-03,1,6,0.05,data\results\step5\xgboost\models\xgboost_model_2025-03-03.pkl
2025-04-01,1,6,0.01,data\results\step5\xgboost\models\xgboost_model_2025-04-01.pkl
2025-05-01,1,6,0.01,data\results\step5\xgboost\models\xgboost_model_2025-05-01.pkl
2025-06-02,4,6,0.05,data\results\step5\xgboost\models\xgboost_model_2025-06-02.pkl
2025-07-01,8,6,0.01,data\results\step5\xgboost\models\xgboost_model_2025-07-01.pkl
2025-08-01,10,6,0.01,data\results\step5\xgboost\models\xgboost_model_2025-08-01.pkl
2025-09-01,19,6,0.05,data\results\step5\xgboost\models\xgboost_model_2025-09-01.pkl
2025-10-01,23,6,0.05,data\results\step5\xgboost\models\xgboost_model_2025-10-01.pkl
2025-11-03,12,6,0.05,data\results\step5\xgboost\models\xgboost_model_2025-11-03.pkl
2025-12-01,23,6,0.05,data\results\step5\xgboost\models\xgboost_model_2025-12-01.pkl
