model,cost_bps,ann_return,ann_vol,sharpe,sortino,calmar,max_drawdown,test_start,test_end,lambda
baseline_markowitz,10,0.2038,0.254,0.8025,1.0764,0.7896,0.2581,2023-01-01,2025-12-31,
baseline_markowitz,20,0.1983,0.254,0.7807,1.0468,0.764,0.2596,2023-01-01,2025-12-31,
baseline_markowitz,30,0.1928,0.2541,0.7588,1.0172,0.7386,0.2611,2023-01-01,2025-12-31,
ridge,10,0.1244,0.2176,0.5717,0.8122,0.5476,0.2272,2023-01-01,2025-12-31,1.0
ridge,20,0.115,0.2177,0.5281,0.7488,0.5031,0.2286,2023-01-01,2025-12-31,1.0
ridge,30,0.1056,0.2178,0.4846,0.6855,0.459,0.23,2023-01-01,2025-12-31,1.0
xgboost,10,0.2068,0.2398,0.8621,1.2964,0.8812,0.2346,2023-01-01,2025-12-31,1.0
xgboost,20,0.1975,0.2399,0.8234,1.2351,0.8402,0.2351,2023-01-01,2025-12-31,1.0
xgboost,30,0.1883,0.24,0.7846,1.174,0.7993,0.2356,2023-01-01,2025-12-31,1.0
mlp,10,0.0435,0.1804,0.2411,0.3324,0.163,0.2667,2023-01-01,2025-12-31,1.0
mlp,20,0.0325,0.1805,0.18,0.2474,0.1169,0.2778,2023-01-01,2025-12-31,1.0
mlp,30,0.0215,0.1806,0.119,0.163,0.0744,0.2888,2023-01-01,2025-12-31,1.0
