lambda,model,sharpe,max_drawdown,avg_turnover
0.1,baseline,1.2767,0.1538,0.408
0.1,mlp,0.6837,0.1652,0.9403
0.1,ridge,0.5152,0.1457,0.7458
0.1,xgboost,1.1544,0.16,0.7533
0.2,baseline,1.2042,0.1689,0.4269
0.2,mlp,0.6372,0.2069,0.9438
0.2,ridge,0.4731,0.1938,0.78
0.2,xgboost,1.1233,0.1954,0.7722
0.5,baseline,1.0214,0.2126,0.4579
0.5,mlp,0.3413,0.2387,0.9352
0.5,ridge,0.3847,0.2206,0.7961
0.5,xgboost,0.9854,0.2243,0.7777
1.0,baseline,0.8243,0.2566,0.4646
1.0,mlp,0.3021,0.2557,0.9315
1.0,ridge,0.6151,0.2258,0.7986
1.0,xgboost,0.9007,0.2341,0.7815
2.0,baseline,0.8225,0.2696,0.4475
2.0,mlp,0.3464,0.2723,0.9385
2.0,ridge,0.7482,0.2161,0.7975
2.0,xgboost,0.8549,0.225,0.7856
5.0,baseline,0.9394,0.2685,0.4309
5.0,mlp,0.3563,0.2948,0.9466
5.0,ridge,0.7275,0.2154,0.7927
5.0,xgboost,0.8368,0.2234,0.7668
10.0,baseline,0.9512,0.268,0.4268
10.0,mlp,0.3266,0.3119,0.9482
10.0,ridge,0.6641,0.2149,0.7793
10.0,xgboost,0.8142,0.2234,0.7604
