rebal_date,turnover,n_stocks_prev,n_stocks_curr
2023-02-01,0.797758,10,10
2023-03-01,1.0,10,10
2023-04-03,0.8,10,10
2023-05-01,0.8,10,10
2023-06-01,0.99093,10,10
2023-07-03,1.0,10,10
2023-08-01,1.0,10,10
2023-09-01,0.99,10,10
2023-10-02,0.900631,10,10
2023-11-01,0.991021,10,10
2023-12-01,1.0,10,10
2024-01-01,1.0,10,10
2024-02-01,0.902334,10,10
2024-03-01,1.0,10,10
2024-04-01,1.0,10,10
2024-05-01,0.99,10,10
2024-06-03,1.0,10,10
2024-07-01,1.0,10,10
2024-08-01,0.834999,10,10
2024-09-02,1.0,10,10
2024-10-01,0.859308,10,10
2024-11-01,0.989486,10,10
2024-12-02,0.977901,10,10
2025-01-01,0.930948,10,10
2025-02-03,1.0,10,10
2025-03-03,0.987741,10,10
2025-04-01,0.790739,10,10
2025-05-01,1.0,10,10
2025-06-02,1.0,10,10
2025-07-01,0.821987,10,10
2025-08-01,0.879997,10,10
2025-09-01,0.942619,10,10
2025-10-01,0.7947,10,10
2025-11-03,0.928524,10,10
2025-12-01,0.7,10,10
