rebal_date,turnover,n_stocks_prev,n_stocks_curr
2023-02-01,0.896871,10,10
2023-03-01,0.99,10,10
2023-04-03,0.8,10,10
2023-05-01,0.92,10,10
2023-06-01,0.990981,10,10
2023-07-03,1.0,10,10
2023-08-01,1.0,10,10
2023-09-01,0.99,10,10
2023-10-02,0.809684,10,10
2023-11-01,0.950927,10,10
2023-12-01,1.0,10,10
2024-01-01,1.0,10,10
2024-02-01,0.877967,10,10
2024-03-01,1.0,10,10
2024-04-01,1.0,10,10
2024-05-01,1.0,10,10
2024-06-03,1.0,10,10
2024-07-01,1.0,10,10
2024-08-01,0.98049,10,10
2024-09-02,1.0,10,10
2024-10-01,0.990266,10,10
2024-11-01,0.988917,10,10
2024-12-02,0.977256,10,10
2025-01-01,0.99,10,10
2025-02-03,1.0,10,10
2025-03-03,0.987546,10,10
2025-04-01,0.79074,10,10
2025-05-01,1.0,10,10
2025-06-02,1.0,10,10
2025-07-01,0.80536,10,10
2025-08-01,0.979794,10,10
2025-09-01,0.989705,10,10
2025-10-01,0.791277,10,10
2025-11-03,0.99,10,10
2025-12-01,0.7,10,10
