rebal_date,turnover,n_stocks_prev,n_stocks_curr
2023-02-01,0.798332,10,10
2023-03-01,0.717471,10,10
2023-04-03,0.929674,10,10
2023-05-01,0.82711,10,10
2023-06-01,1.0,10,10
2023-07-03,0.546284,10,10
2023-08-01,0.911866,10,10
2023-09-01,0.738334,10,10
2023-10-02,0.980345,10,10
2023-11-01,0.808356,10,10
2023-12-01,0.80798,10,10
2024-01-01,0.848101,10,10
2024-02-01,0.890908,10,10
2024-03-01,0.845322,10,10
2024-04-01,0.80481,10,10
2024-05-01,0.55123,10,10
2024-06-03,0.847383,10,10
2024-07-01,0.691931,10,10
2024-08-01,0.815312,10,10
2024-09-02,0.386992,10,10
2024-10-01,0.848343,10,10
2024-11-01,0.811014,10,10
2024-12-02,0.695935,10,10
2025-01-01,0.980961,10,10
2025-02-03,0.903101,10,10
2025-03-03,0.837868,10,10
2025-04-01,0.946277,10,10
2025-05-01,0.815742,10,10
2025-06-02,0.711872,10,10
2025-07-01,0.86838,10,10
2025-08-01,0.785489,10,10
2025-09-01,0.63726,10,10
2025-10-01,0.78175,10,10
2025-11-03,0.78025,10,10
2025-12-01,0.79755,10,10
