rebal_date,turnover,n_stocks_prev,n_stocks_curr
2023-02-01,0.724652,10,10
2023-03-01,0.625882,10,10
2023-04-03,0.838288,10,10
2023-05-01,0.806613,10,10
2023-06-01,1.0,10,10
2023-07-03,0.533786,10,10
2023-08-01,0.912086,10,10
2023-09-01,0.780635,10,10
2023-10-02,0.932158,10,10
2023-11-01,0.737139,10,10
2023-12-01,0.851873,10,10
2024-01-01,0.84128,10,10
2024-02-01,0.89276,10,10
2024-03-01,0.948972,10,10
2024-04-01,0.880935,10,10
2024-05-01,0.628756,10,10
2024-06-03,0.808529,10,10
2024-07-01,0.730818,10,10
2024-08-01,0.844792,10,10
2024-09-02,0.371018,10,10
2024-10-01,0.947647,10,10
2024-11-01,0.844339,10,10
2024-12-02,0.69746,10,10
2025-01-01,0.981019,10,10
2025-02-03,0.905545,10,10
2025-03-03,0.759953,10,10
2025-04-01,0.943456,10,10
2025-05-01,0.767794,10,10
2025-06-02,0.718099,10,10
2025-07-01,0.887751,10,10
2025-08-01,0.770606,10,10
2025-09-01,0.672292,10,10
2025-10-01,0.771449,10,10
2025-11-03,0.781667,10,10
2025-12-01,0.771088,10,10
