rebal_date,turnover,n_stocks_prev,n_stocks_curr
2023-02-01,0.719004,10,10
2023-03-01,0.627759,10,10
2023-04-03,0.598079,10,10
2023-05-01,0.790222,10,10
2023-06-01,0.8,10,10
2023-07-03,0.989966,10,10
2023-08-01,0.931155,10,10
2023-09-01,0.638776,10,10
2023-10-02,0.742571,10,10
2023-11-01,0.789909,10,10
2023-12-01,0.735223,10,10
2024-01-01,0.614528,10,10
2024-02-01,0.923098,10,10
2024-03-01,0.970236,10,10
2024-04-01,0.981156,10,10
2024-05-01,0.569111,10,10
2024-06-03,0.740336,10,10
2024-07-01,0.700082,10,10
2024-08-01,0.720863,10,10
2024-09-02,0.959283,10,10
2024-10-01,0.955472,10,10
2024-11-01,0.849573,10,10
2024-12-02,0.269939,10,10
2025-01-01,0.680565,10,10
2025-02-03,1.0,10,10
2025-03-03,1.0,10,10
2025-04-01,0.801247,10,10
2025-05-01,0.980773,10,10
2025-06-02,0.832746,10,10
2025-07-01,0.666038,10,10
2025-08-01,0.634852,10,10
2025-09-01,0.455307,10,10
2025-10-01,0.945263,10,10
2025-11-03,0.870883,10,10
2025-12-01,0.867531,10,10
