date,model,RGA,n_assets
2023-01-02,ridge,0.708823,407
2023-02-01,ridge,0.509831,407
2023-03-01,ridge,0.402875,407
2023-04-03,ridge,0.502895,407
2023-05-01,ridge,0.521338,407
2023-06-01,ridge,0.550416,407
2023-07-03,ridge,0.510888,407
2023-08-01,ridge,0.490115,407
2023-09-01,ridge,0.46086,407
2023-10-02,ridge,0.407,407
2023-11-01,ridge,0.60621,407
2023-12-01,ridge,0.457778,407
2024-01-01,ridge,0.446699,407
2024-02-01,ridge,0.44763,407
2024-03-01,ridge,0.578813,407
2024-04-01,ridge,0.488734,407
2024-05-01,ridge,0.457457,407
2024-06-03,ridge,0.403259,407
2024-07-01,ridge,0.552855,407
2024-08-01,ridge,0.447911,407
2024-09-02,ridge,0.540336,407
2024-10-01,ridge,0.473749,407
2024-11-01,ridge,0.394148,407
2024-12-02,ridge,0.485786,407
2025-01-01,ridge,0.477216,407
2025-02-03,ridge,0.462906,407
2025-03-03,ridge,0.436632,407
2025-04-01,ridge,0.461583,407
2025-05-01,ridge,0.527583,407
2025-06-02,ridge,0.477861,407
2025-07-01,ridge,0.417234,407
2025-08-01,ridge,0.538918,407
2025-09-01,ridge,0.472143,407
2025-10-01,ridge,0.488612,407
2025-11-03,ridge,0.513209,407
2025-12-01,ridge,0.533124,407
2023-01-02,xgboost,0.695319,407
2023-02-01,xgboost,0.496077,407
2023-03-01,xgboost,0.426463,407
2023-04-03,xgboost,0.491056,407
2023-05-01,xgboost,0.51704,407
2023-06-01,xgboost,0.536919,407
2023-07-03,xgboost,0.531904,407
2023-08-01,xgboost,0.521982,407
2023-09-01,xgboost,0.469251,407
2023-10-02,xgboost,0.433038,407
2023-11-01,xgboost,0.587234,407
2023-12-01,xgboost,0.493951,407
2024-01-01,xgboost,0.438546,407
2024-02-01,xgboost,0.462958,407
2024-03-01,xgboost,0.516475,407
2024-04-01,xgboost,0.484016,407
2024-05-01,xgboost,0.488834,407
2024-06-03,xgboost,0.402645,407
2024-07-01,xgboost,0.562509,407
2024-08-01,xgboost,0.502891,407
2024-09-02,xgboost,0.579773,407
2024-10-01,xgboost,0.471704,407
2024-11-01,xgboost,0.400564,407
2024-12-02,xgboost,0.52622,407
2025-01-01,xgboost,0.511362,407
2025-02-03,xgboost,0.532245,407
2025-03-03,xgboost,0.479964,407
2025-04-01,xgboost,0.496126,407
2025-05-01,xgboost,0.552713,407
2025-06-02,xgboost,0.482384,407
2025-07-01,xgboost,0.492295,407
2025-08-01,xgboost,0.564262,407
2025-09-01,xgboost,0.507501,407
2025-10-01,xgboost,0.418533,407
2025-11-03,xgboost,0.511972,407
2025-12-01,xgboost,0.508399,407
2023-01-02,mlp,0.590252,407
2023-02-01,mlp,0.529795,407
2023-03-01,mlp,0.425122,407
2023-04-03,mlp,0.48396,407
2023-05-01,mlp,0.534448,407
2023-06-01,mlp,0.527003,407
2023-07-03,mlp,0.557821,407
2023-08-01,mlp,0.493439,407
2023-09-01,mlp,0.496953,407
2023-10-02,mlp,0.439302,407
2023-11-01,mlp,0.584825,407
2023-12-01,mlp,0.492714,407
2024-01-01,mlp,0.452696,407
2024-02-01,mlp,0.469244,407
2024-03-01,mlp,0.512933,407
2024-04-01,mlp,0.526176,407
2024-05-01,mlp,0.51129,407
2024-06-03,mlp,0.442939,407
2024-07-01,mlp,0.548723,407
2024-08-01,mlp,0.456229,407
2024-09-02,mlp,0.474069,407
2024-10-01,mlp,0.452148,407
2024-11-01,mlp,0.427397,407
2024-12-02,mlp,0.496753,407
2025-01-01,mlp,0.533618,407
2025-02-03,mlp,0.504421,407
2025-03-03,mlp,0.4671,407
2025-04-01,mlp,0.474042,407
2025-05-01,mlp,0.590431,407
2025-06-02,mlp,0.517403,407
2025-07-01,mlp,0.440586,407
2025-08-01,mlp,0.5302,407
2025-09-01,mlp,0.481178,407
2025-10-01,mlp,0.498264,407
2025-11-03,mlp,0.523804,407
2025-12-01,mlp,0.478603,407
