date,model,variable,RGE,n_assets
2023-01-02,ridge,log_mktcap,0.51516,407
2023-01-02,ridge,ret_12m,0.068263,407
2023-01-02,ridge,ret_6m,0.043615,407
2023-01-02,ridge,amihud,0.037119,407
2023-01-02,ridge,ret_1m,0.032415,407
2023-01-02,ridge,vol_ratio,0.011405,407
2023-01-02,ridge,vol_3m,0.001348,407
2023-01-02,ridge,vol_1m,0.001282,407
2023-01-02,ridge,ret_3m,0.001244,407
2023-01-02,ridge,ret_1w,0.000104,407
2023-02-01,ridge,log_mktcap,0.576863,407
2023-02-01,ridge,ret_12m,0.115846,407
2023-02-01,ridge,ret_6m,0.071267,407
2023-02-01,ridge,ret_1m,0.05485,407
2023-02-01,ridge,amihud,0.044567,407
2023-02-01,ridge,vol_ratio,0.025892,407
2023-02-01,ridge,vol_1m,0.013788,407
2023-02-01,ridge,vol_3m,0.003749,407
2023-02-01,ridge,ret_1w,0.002262,407
2023-02-01,ridge,ret_3m,0.00078,407
2023-03-01,ridge,log_mktcap,0.493958,407
2023-03-01,ridge,ret_12m,0.103388,407
2023-03-01,ridge,ret_6m,0.070159,407
2023-03-01,ridge,ret_1m,0.054693,407
2023-03-01,ridge,amihud,0.046636,407
2023-03-01,ridge,vol_ratio,0.016313,407
2023-03-01,ridge,vol_1m,0.01126,407
2023-03-01,ridge,vol_3m,0.004891,407
2023-03-01,ridge,ret_3m,0.003954,407
2023-03-01,ridge,ret_1w,0.002279,407
2023-04-03,ridge,log_mktcap,0.515195,407
2023-04-03,ridge,ret_12m,0.079536,407
2023-04-03,ridge,ret_6m,0.051577,407
2023-04-03,ridge,ret_1m,0.041207,407
2023-04-03,ridge,amihud,0.032446,407
2023-04-03,ridge,vol_ratio,0.01132,407
2023-04-03,ridge,vol_1m,0.0109,407
2023-04-03,ridge,vol_3m,0.00416,407
2023-04-03,ridge,ret_3m,0.003841,407
2023-04-03,ridge,ret_1w,0.001133,407
2023-05-01,ridge,log_mktcap,0.473971,407
2023-05-01,ridge,ret_12m,0.08291,407
2023-05-01,ridge,ret_6m,0.053721,407
2023-05-01,ridge,amihud,0.039038,407
2023-05-01,ridge,ret_1m,0.029929,407
2023-05-01,ridge,vol_ratio,0.011818,407
2023-05-01,ridge,vol_1m,0.009328,407
2023-05-01,ridge,ret_3m,0.006156,407
2023-05-01,ridge,vol_3m,0.00577,407
2023-05-01,ridge,ret_1w,0.000168,407
2023-06-01,ridge,log_mktcap,0.526317,407
2023-06-01,ridge,ret_12m,0.090514,407
2023-06-01,ridge,ret_6m,0.053802,407
