date,model,group,RGE,n_assets
2023-01-02,ridge,all_features,0.5,407
2023-02-01,ridge,all_features,0.5,407
2023-03-01,ridge,all_features,0.5,407
2023-04-03,ridge,all_features,0.5,407
2023-05-01,ridge,all_features,0.5,407
2023-06-01,ridge,all_features,0.5,407
2023-07-03,ridge,all_features,0.5,407
2023-08-01,ridge,all_features,0.5,407
2023-09-01,ridge,all_features,0.5,407
2023-10-02,ridge,all_features,0.5,407
2023-11-01,ridge,all_features,0.5,407
2023-12-01,ridge,all_features,0.5,407
2024-01-01,ridge,all_features,0.5,407
2024-02-01,ridge,all_features,0.5,407
2024-03-01,ridge,all_features,0.5,407
2024-04-01,ridge,all_features,0.5,407
2024-05-01,ridge,all_features,0.5,407
2024-06-03,ridge,all_features,0.5,407
2024-07-01,ridge,all_features,0.5,407
2024-08-01,ridge,all_features,0.5,407
2024-09-02,ridge,all_features,0.5,407
2024-10-01,ridge,all_features,0.5,407
2024-11-01,ridge,all_features,0.5,407
2024-12-02,ridge,all_features,0.5,407
2025-01-01,ridge,all_features,0.5,407
2025-02-03,ridge,all_features,0.5,407
2025-03-03,ridge,all_features,0.5,407
2025-04-01,ridge,all_features,0.5,407
2025-05-01,ridge,all_features,0.5,407
2025-06-02,ridge,all_features,0.5,407
2025-07-01,ridge,all_features,0.5,407
2025-08-01,ridge,all_features,0.5,407
2025-09-01,ridge,all_features,0.5,407
2025-10-01,ridge,all_features,0.5,407
2025-11-03,ridge,all_features,0.5,407
2025-12-01,ridge,all_features,0.5,407
2023-01-02,xgboost,all_features,0.5,407
2023-02-01,xgboost,all_features,0.5,407
2023-03-01,xgboost,all_features,0.5,407
2023-04-03,xgboost,all_features,0.5,407
2023-05-01,xgboost,all_features,0.5,407
2023-06-01,xgboost,all_features,0.5,407
2023-07-03,xgboost,all_features,0.5,407
2023-08-01,xgboost,all_features,0.5,407
2023-09-01,xgboost,all_features,0.5,407
2023-10-02,xgboost,all_features,0.5,407
2023-11-01,xgboost,all_features,0.5,407
2023-12-01,xgboost,all_features,0.5,407
2024-01-01,xgboost,all_features,0.5,407
2024-02-01,xgboost,all_features,0.5,407
2024-03-01,xgboost,all_features,0.5,407
2024-04-01,xgboost,all_features,0.5,407
2024-05-01,xgboost,all_features,0.5,407
2024-06-03,xgboost,all_features,0.5,407
2024-07-01,xgboost,all_features,0.5,407
2024-08-01,xgboost,all_features,0.5,407
2024-09-02,xgboost,all_features,0.5,407
2024-10-01,xgboost,all_features,0.5,407
2024-11-01,xgboost,all_features,0.5,407
2024-12-02,xgboost,all_features,0.5,407
2025-01-01,xgboost,all_features,0.5,407
2025-02-03,xgboost,all_features,0.5,407
2025-03-03,xgboost,all_features,0.5,407
2025-04-01,xgboost,all_features,0.5,407
2025-05-01,xgboost,all_features,0.5,407
2025-06-02,xgboost,all_features,0.5,407
2025-07-01,xgboost,all_features,0.5,407
2025-08-01,xgboost,all_features,0.5,407
2025-09-01,xgboost,all_features,0.5,407
2025-10-01,xgboost,all_features,0.5,407
2025-11-03,xgboost,all_features,0.5,407
2025-12-01,xgboost,all_features,0.5,407
2023-01-02,mlp,all_features,0.500179,407
2023-02-01,mlp,all_features,0.499667,407
2023-03-01,mlp,all_features,0.5,407
2023-04-03,mlp,all_features,0.499724,407
2023-05-01,mlp,all_features,0.502363,407
2023-06-01,mlp,all_features,0.5,407
2023-07-03,mlp,all_features,0.50403,407
2023-08-01,mlp,all_features,0.499394,407
2023-09-01,mlp,all_features,0.5,407
2023-10-02,mlp,all_features,0.5,407
2023-11-01,mlp,all_features,0.500461,407
2023-12-01,mlp,all_features,0.5,407
2024-01-01,mlp,all_features,0.496866,407
2024-02-01,mlp,all_features,0.497471,407
2024-03-01,mlp,all_features,0.5,407
2024-04-01,mlp,all_features,0.49953,407
2024-05-01,mlp,all_features,0.5,407
2024-06-03,mlp,all_features,0.5,407
2024-07-01,mlp,all_features,0.498339,407
2024-08-01,mlp,all_features,0.502069,407
2024-09-02,mlp,all_features,0.5,407
2024-10-01,mlp,all_features,0.5,407
2024-11-01,mlp,all_features,0.5,407
2024-12-02,mlp,all_features,0.499668,407
2025-01-01,mlp,all_features,0.503029,407
2025-02-03,mlp,all_features,0.5,407
2025-03-03,mlp,all_features,0.499328,407
2025-04-01,mlp,all_features,0.5,407
2025-05-01,mlp,all_features,0.5,407
2025-06-02,mlp,all_features,0.501449,407
2025-07-01,mlp,all_features,0.5,407
2025-08-01,mlp,all_features,0.5,407
2025-09-01,mlp,all_features,0.5,407
2025-10-01,mlp,all_features,0.494551,407
2025-11-03,mlp,all_features,0.502612,407
2025-12-01,mlp,all_features,0.498696,407
