model,variable,mean_RGE,std_RGE,min_RGE,max_RGE,n_dates,mean_n_assets
mlp,amihud,0.148626,0.027227,0.102688,0.201608,36,407.0
mlp,log_mktcap,0.175646,0.037752,0.089029,0.297576,36,407.0
mlp,ret_12m,0.134762,0.02586,0.077896,0.19965,36,407.0
mlp,ret_1m,0.128855,0.022516,0.089556,0.183933,36,407.0
mlp,ret_1w,0.141832,0.026284,0.100518,0.203217,36,407.0
mlp,ret_3m,0.146703,0.027271,0.086059,0.20684,36,407.0
mlp,ret_6m,0.150835,0.034152,0.085936,0.227312,36,407.0
mlp,vol_1m,0.202106,0.038358,0.1369,0.293509,36,407.0
mlp,vol_3m,0.179385,0.044142,0.120457,0.282564,36,407.0
mlp,vol_ratio,0.145613,0.034462,0.108019,0.240596,36,407.0
ridge,amihud,0.03657,0.008158,0.018628,0.054753,36,407.0
ridge,log_mktcap,0.480312,0.044913,0.379915,0.576863,36,407.0
ridge,ret_12m,0.055572,0.03049,0.011127,0.115846,36,407.0
ridge,ret_1m,0.026566,0.011377,0.009136,0.05485,36,407.0
ridge,ret_1w,0.000429,0.000601,1e-06,0.002279,36,407.0
ridge,ret_3m,0.024598,0.014915,0.00078,0.063653,36,407.0
ridge,ret_6m,0.060352,0.009627,0.041345,0.077114,36,407.0
ridge,vol_1m,0.030565,0.017083,0.001282,0.069997,36,407.0
ridge,vol_3m,0.007233,0.005424,1.2e-05,0.022151,36,407.0
ridge,vol_ratio,0.021443,0.007257,0.01132,0.040289,36,407.0
xgboost,amihud,0.027672,0.027844,0.0,0.087412,36,407.0
xgboost,log_mktcap,0.219601,0.051325,0.133254,0.375664,36,407.0
xgboost,ret_12m,0.05211,0.059145,0.007954,0.26111,36,407.0
xgboost,ret_1m,0.111317,0.051746,0.044899,0.23653,36,407.0
xgboost,ret_1w,0.011919,0.018273,0.0,0.065662,36,407.0
xgboost,ret_3m,0.058063,0.072151,0.002019,0.249459,36,407.0
xgboost,ret_6m,0.023469,0.023016,0.002502,0.096203,36,407.0
xgboost,vol_1m,0.013068,0.02404,0.0,0.117794,36,407.0
xgboost,vol_3m,0.016808,0.023584,0.0,0.10163,36,407.0
xgboost,vol_ratio,0.014909,0.015431,0.0,0.069455,36,407.0
