date,model,group_variable,RGA_gap,min_group_RGA,max_group_RGA,n_valid_groups,mean_n_assets_per_group
2023-01-02,ridge,sector,0.314361,0.425453,0.739814,11,37.0
2023-02-01,ridge,sector,0.341288,0.354445,0.695733,11,37.0
2023-03-01,ridge,sector,0.30901,0.204739,0.513748,11,37.0
2023-04-03,ridge,sector,0.425521,0.301901,0.727422,11,37.0
2023-05-01,ridge,sector,0.414797,0.244169,0.658966,11,37.0
2023-06-01,ridge,sector,0.463498,0.274795,0.738293,11,37.0
2023-07-03,ridge,sector,0.234287,0.449672,0.683959,11,37.0
2023-08-01,ridge,sector,0.416405,0.258283,0.674688,11,37.0
2023-09-01,ridge,sector,0.475945,0.143189,0.619134,11,37.0
2023-10-02,ridge,sector,0.610122,0.282621,0.892743,11,37.0
2023-11-01,ridge,sector,0.484158,0.345,0.829159,11,37.0
2023-12-01,ridge,sector,0.304172,0.365652,0.669824,11,37.0
2024-01-01,ridge,sector,0.319506,0.2879,0.607405,11,37.0
2024-02-01,ridge,sector,0.754879,0.116977,0.871857,11,37.0
2024-03-01,ridge,sector,0.321643,0.410796,0.732439,11,37.0
2024-04-01,ridge,sector,0.446166,0.315911,0.762077,11,37.0
2024-05-01,ridge,sector,0.285707,0.277192,0.562899,11,37.0
2024-06-03,ridge,sector,0.374609,0.269239,0.643848,11,37.0
2024-07-01,ridge,sector,0.505622,0.18203,0.687652,11,37.0
2024-08-01,ridge,sector,0.431823,0.278198,0.710021,11,37.0
2024-09-02,ridge,sector,0.475078,0.115064,0.590142,11,37.0
2024-10-01,ridge,sector,0.254514,0.370903,0.625417,11,37.0
2024-11-01,ridge,sector,0.326796,0.327402,0.654199,11,37.0
2024-12-02,ridge,sector,0.544363,0.153785,0.698149,11,37.0
2025-01-01,ridge,sector,0.382416,0.27238,0.654796,11,37.0
2025-02-03,ridge,sector,0.313168,0.34339,0.656558,11,37.0
2025-03-03,ridge,sector,0.312884,0.381112,0.693996,11,37.0
2025-04-01,ridge,sector,0.255656,0.286153,0.541809,11,37.0
2025-05-01,ridge,sector,0.361772,0.281513,0.643285,11,37.0
2025-06-02,ridge,sector,0.307809,0.36897,0.676779,11,37.0
2025-07-01,ridge,sector,0.211312,0.317763,0.529075,11,37.0
2025-08-01,ridge,sector,0.423127,0.233636,0.656763,11,37.0
2025-09-01,ridge,sector,0.29128,0.376605,0.667885,11,37.0
2025-10-01,ridge,sector,0.460806,0.19491,0.655715,11,37.0
2025-11-03,ridge,sector,0.332682,0.295553,0.628236,11,37.0
2025-12-01,ridge,sector,0.338285,0.478836,0.817121,11,37.0
2023-01-02,xgboost,sector,0.422634,0.345056,0.76769,11,37.0
2023-02-01,xgboost,sector,0.226968,0.385061,0.612029,11,37.0
2023-03-01,xgboost,sector,0.26241,0.236983,0.499393,11,37.0
2023-04-03,xgboost,sector,0.373062,0.274422,0.647484,11,37.0
2023-05-01,xgboost,sector,0.431207,0.263038,0.694245,11,37.0
2023-06-01,xgboost,sector,0.29237,0.427083,0.719454,11,37.0
2023-07-03,xgboost,sector,0.192422,0.46758,0.660002,11,37.0
2023-08-01,xgboost,sector,0.266246,0.389705,0.655951,11,37.0
2023-09-01,xgboost,sector,0.411647,0.261238,0.672884,11,37.0
