date,model,group_variable,group,RGA,n_assets
2023-01-02,ridge,sector,Health Care,0.720599,54
2023-01-02,ridge,sector,Information Technology,0.67658,56
2023-01-02,ridge,sector,Financials,0.575539,65
2023-01-02,ridge,sector,Consumer Staples,0.659458,28
2023-01-02,ridge,sector,Industrials,0.736163,65
2023-01-02,ridge,sector,Utilities,0.715426,20
2023-01-02,ridge,sector,Materials,0.509301,21
2023-01-02,ridge,sector,Real Estate,0.441279,26
2023-01-02,ridge,sector,Consumer Discretionary,0.739814,41
2023-01-02,ridge,sector,Communication Services,0.513037,13
2023-01-02,ridge,sector,Energy,0.425453,18
2023-02-01,ridge,sector,Health Care,0.47822,54
2023-02-01,ridge,sector,Information Technology,0.369805,56
2023-02-01,ridge,sector,Financials,0.63148,65
2023-02-01,ridge,sector,Consumer Staples,0.695733,28
2023-02-01,ridge,sector,Industrials,0.354445,65
2023-02-01,ridge,sector,Utilities,0.652252,20
2023-02-01,ridge,sector,Materials,0.591542,21
2023-02-01,ridge,sector,Real Estate,0.629951,26
2023-02-01,ridge,sector,Consumer Discretionary,0.492005,41
2023-02-01,ridge,sector,Communication Services,0.646258,13
2023-02-01,ridge,sector,Energy,0.538013,18
2023-03-01,ridge,sector,Health Care,0.474778,54
2023-03-01,ridge,sector,Information Technology,0.295167,56
2023-03-01,ridge,sector,Financials,0.341551,65
2023-03-01,ridge,sector,Consumer Staples,0.431673,28
2023-03-01,ridge,sector,Industrials,0.361007,65
2023-03-01,ridge,sector,Utilities,0.242285,20
2023-03-01,ridge,sector,Materials,0.474782,21
2023-03-01,ridge,sector,Real Estate,0.204739,26
2023-03-01,ridge,sector,Consumer Discretionary,0.378066,41
2023-03-01,ridge,sector,Communication Services,0.513748,13
2023-03-01,ridge,sector,Energy,0.402363,18
2023-04-03,ridge,sector,Health Care,0.526854,54
2023-04-03,ridge,sector,Information Technology,0.432542,56
2023-04-03,ridge,sector,Financials,0.4151,65
2023-04-03,ridge,sector,Consumer Staples,0.498114,28
2023-04-03,ridge,sector,Industrials,0.551206,65
2023-04-03,ridge,sector,Utilities,0.369434,20
2023-04-03,ridge,sector,Materials,0.301901,21
2023-04-03,ridge,sector,Real Estate,0.640969,26
2023-04-03,ridge,sector,Consumer Discretionary,0.347896,41
2023-04-03,ridge,sector,Communication Services,0.464043,13
2023-04-03,ridge,sector,Energy,0.727422,18
2023-05-01,ridge,sector,Health Care,0.427695,54
2023-05-01,ridge,sector,Information Technology,0.380225,56
2023-05-01,ridge,sector,Financials,0.414103,65
2023-05-01,ridge,sector,Consumer Staples,0.510636,28
2023-05-01,ridge,sector,Industrials,0.491243,65
2023-05-01,ridge,sector,Utilities,0.658966,20
2023-05-01,ridge,sector,Materials,0.277629,21
2023-05-01,ridge,sector,Real Estate,0.244169,26
2023-05-01,ridge,sector,Consumer Discretionary,0.586323,41
2023-05-01,ridge,sector,Communication Services,0.611493,13
2023-05-01,ridge,sector,Energy,0.603626,18
2023-06-01,ridge,sector,Health Care,0.631306,54
2023-06-01,ridge,sector,Information Technology,0.476175,56
2023-06-01,ridge,sector,Financials,0.417452,65
2023-06-01,ridge,sector,Consumer Staples,0.569691,28
2023-06-01,ridge,sector,Industrials,0.631135,65
2023-06-01,ridge,sector,Utilities,0.738293,20
2023-06-01,ridge,sector,Materials,0.274795,21
2023-06-01,ridge,sector,Real Estate,0.623367,26
2023-06-01,ridge,sector,Consumer Discretionary,0.623594,41
2023-06-01,ridge,sector,Communication Services,0.665339,13
2023-06-01,ridge,sector,Energy,0.542943,18
2023-07-03,ridge,sector,Health Care,0.589206,54
2023-07-03,ridge,sector,Information Technology,0.518115,56
2023-07-03,ridge,sector,Financials,0.557005,65
2023-07-03,ridge,sector,Consumer Staples,0.555916,28
2023-07-03,ridge,sector,Industrials,0.510364,65
2023-07-03,ridge,sector,Utilities,0.683959,20
2023-07-03,ridge,sector,Materials,0.637243,21
2023-07-03,ridge,sector,Real Estate,0.482408,26
2023-07-03,ridge,sector,Consumer Discretionary,0.521301,41
2023-07-03,ridge,sector,Communication Services,0.49262,13
2023-07-03,ridge,sector,Energy,0.449672,18
2023-08-01,ridge,sector,Health Care,0.37643,54
2023-08-01,ridge,sector,Information Technology,0.589817,56
2023-08-01,ridge,sector,Financials,0.674688,65
2023-08-01,ridge,sector,Consumer Staples,0.42534,28
2023-08-01,ridge,sector,Industrials,0.517807,65
2023-08-01,ridge,sector,Utilities,0.502664,20
2023-08-01,ridge,sector,Materials,0.446368,21
2023-08-01,ridge,sector,Real Estate,0.529566,26
2023-08-01,ridge,sector,Consumer Discretionary,0.507883,41
2023-08-01,ridge,sector,Communication Services,0.258283,13
2023-08-01,ridge,sector,Energy,0.662612,18
2023-09-01,ridge,sector,Health Care,0.473048,54
2023-09-01,ridge,sector,Information Technology,0.619134,56
2023-09-01,ridge,sector,Financials,0.404845,65
2023-09-01,ridge,sector,Consumer Staples,0.410876,28
2023-09-01,ridge,sector,Industrials,0.510207,65
2023-09-01,ridge,sector,Utilities,0.59274,20
2023-09-01,ridge,sector,Materials,0.53927,21
2023-09-01,ridge,sector,Real Estate,0.324322,26
2023-09-01,ridge,sector,Consumer Discretionary,0.512559,41
2023-09-01,ridge,sector,Communication Services,0.516315,13
2023-09-01,ridge,sector,Energy,0.143189,18
2023-10-02,ridge,sector,Health Care,0.282621,54
2023-10-02,ridge,sector,Information Technology,0.29131,56
2023-10-02,ridge,sector,Financials,0.450076,65
2023-10-02,ridge,sector,Consumer Staples,0.474442,28
2023-10-02,ridge,sector,Industrials,0.449017,65
2023-10-02,ridge,sector,Utilities,0.366962,20
2023-10-02,ridge,sector,Materials,0.374426,21
2023-10-02,ridge,sector,Real Estate,0.321734,26
2023-10-02,ridge,sector,Consumer Discretionary,0.347928,41
2023-10-02,ridge,sector,Communication Services,0.524781,13
2023-10-02,ridge,sector,Energy,0.892743,18
