date,model,variable,RGR,n_assets,perturbation_percentage
2023-01-02,ridge,ret_1w,0.999907,407,0.05
2023-01-02,ridge,vol_1m,0.998802,407,0.05
2023-01-02,ridge,ret_3m,0.998652,407,0.05
2023-01-02,ridge,vol_3m,0.99858,407,0.05
2023-01-02,ridge,vol_ratio,0.987476,407,0.05
2023-01-02,ridge,amihud,0.980257,407,0.05
2023-01-02,ridge,ret_1m,0.966642,407,0.05
2023-01-02,ridge,ret_6m,0.96135,407,0.05
2023-01-02,ridge,ret_12m,0.932103,407,0.05
2023-01-02,ridge,log_mktcap,0.779857,407,0.05
2023-02-01,ridge,ret_3m,0.999199,407,0.05
2023-02-01,ridge,ret_1w,0.997587,407,0.05
2023-02-01,ridge,vol_3m,0.996124,407,0.05
2023-02-01,ridge,vol_1m,0.987465,407,0.05
2023-02-01,ridge,amihud,0.98151,407,0.05
2023-02-01,ridge,vol_ratio,0.973598,407,0.05
2023-02-01,ridge,ret_1m,0.957374,407,0.05
2023-02-01,ridge,ret_6m,0.947387,407,0.05
2023-02-01,ridge,ret_12m,0.898029,407,0.05
2023-02-01,ridge,log_mktcap,0.788246,407,0.05
2023-03-01,ridge,ret_1w,0.997669,407,0.05
2023-03-01,ridge,ret_3m,0.995903,407,0.05
2023-03-01,ridge,vol_3m,0.995301,407,0.05
2023-03-01,ridge,vol_1m,0.987825,407,0.05
2023-03-01,ridge,vol_ratio,0.984848,407,0.05
2023-03-01,ridge,amihud,0.968608,407,0.05
2023-03-01,ridge,ret_1m,0.949469,407,0.05
2023-03-01,ridge,ret_6m,0.945449,407,0.05
2023-03-01,ridge,ret_12m,0.920496,407,0.05
2023-03-01,ridge,log_mktcap,0.805225,407,0.05
2023-04-03,ridge,ret_1w,0.998812,407,0.05
2023-04-03,ridge,ret_3m,0.995845,407,0.05
2023-04-03,ridge,vol_3m,0.995543,407,0.05
2023-04-03,ridge,vol_ratio,0.98811,407,0.05
2023-04-03,ridge,vol_1m,0.987683,407,0.05
2023-04-03,ridge,amihud,0.977484,407,0.05
2023-04-03,ridge,ret_6m,0.968697,407,0.05
2023-04-03,ridge,ret_1m,0.954054,407,0.05
2023-04-03,ridge,ret_12m,0.933427,407,0.05
2023-04-03,ridge,log_mktcap,0.783345,407,0.05
2023-05-01,ridge,ret_1w,0.999839,407,0.05
2023-05-01,ridge,vol_3m,0.994865,407,0.05
2023-05-01,ridge,ret_3m,0.99304,407,0.05
2023-05-01,ridge,vol_1m,0.990069,407,0.05
2023-05-01,ridge,vol_ratio,0.987099,407,0.05
2023-05-01,ridge,amihud,0.977918,407,0.05
2023-05-01,ridge,ret_1m,0.971658,407,0.05
