date,model,group,RGR,n_assets,perturbation_percentage
2023-01-02,ridge,all_features,0.720147,407,0.05
2023-02-01,ridge,all_features,0.7292,407,0.05
2023-03-01,ridge,all_features,0.734148,407,0.05
2023-04-03,ridge,all_features,0.737886,407,0.05
2023-05-01,ridge,all_features,0.757689,407,0.05
2023-06-01,ridge,all_features,0.750149,407,0.05
2023-07-03,ridge,all_features,0.762527,407,0.05
2023-08-01,ridge,all_features,0.746564,407,0.05
2023-09-01,ridge,all_features,0.713599,407,0.05
2023-10-02,ridge,all_features,0.725093,407,0.05
2023-11-01,ridge,all_features,0.756413,407,0.05
2023-12-01,ridge,all_features,0.727663,407,0.05
2024-01-01,ridge,all_features,0.73292,407,0.05
2024-02-01,ridge,all_features,0.735343,407,0.05
2024-03-01,ridge,all_features,0.719459,407,0.05
2024-04-01,ridge,all_features,0.72005,407,0.05
2024-05-01,ridge,all_features,0.739031,407,0.05
2024-06-03,ridge,all_features,0.727818,407,0.05
2024-07-01,ridge,all_features,0.720021,407,0.05
2024-08-01,ridge,all_features,0.745365,407,0.05
2024-09-02,ridge,all_features,0.722179,407,0.05
2024-10-01,ridge,all_features,0.752031,407,0.05
2024-11-01,ridge,all_features,0.745965,407,0.05
2024-12-02,ridge,all_features,0.726911,407,0.05
2025-01-01,ridge,all_features,0.709914,407,0.05
2025-02-03,ridge,all_features,0.741288,407,0.05
2025-03-03,ridge,all_features,0.721874,407,0.05
2025-04-01,ridge,all_features,0.729093,407,0.05
2025-05-01,ridge,all_features,0.740993,407,0.05
2025-06-02,ridge,all_features,0.730775,407,0.05
2025-07-01,ridge,all_features,0.755233,407,0.05
2025-08-01,ridge,all_features,0.73236,407,0.05
2025-09-01,ridge,all_features,0.737609,407,0.05
2025-10-01,ridge,all_features,0.753102,407,0.05
2025-11-03,ridge,all_features,0.779574,407,0.05
2025-12-01,ridge,all_features,0.764826,407,0.05
2023-01-02,xgboost,all_features,0.772848,407,0.05
2023-02-01,xgboost,all_features,0.684464,407,0.05
2023-03-01,xgboost,all_features,0.798645,407,0.05
2023-04-03,xgboost,all_features,0.750371,407,0.05
2023-05-01,xgboost,all_features,0.752009,407,0.05
2023-06-01,xgboost,all_features,0.683231,407,0.05
2023-07-03,xgboost,all_features,0.785338,407,0.05
2023-08-01,xgboost,all_features,0.637453,407,0.05
2023-09-01,xgboost,all_features,0.771786,407,0.05
2023-10-02,xgboost,all_features,0.750658,407,0.05
2023-11-01,xgboost,all_features,0.795557,407,0.05
2023-12-01,xgboost,all_features,0.812925,407,0.05
2024-01-01,xgboost,all_features,0.804999,407,0.05
2024-02-01,xgboost,all_features,0.826784,407,0.05
2024-03-01,xgboost,all_features,0.708149,407,0.05
2024-04-01,xgboost,all_features,0.846445,407,0.05
2024-05-01,xgboost,all_features,0.742804,407,0.05
2024-06-03,xgboost,all_features,0.7599,407,0.05
2024-07-01,xgboost,all_features,0.659771,407,0.05
