model,variable,mean_RGR,std_RGR,min_RGR,max_RGR,n_dates,mean_n_assets
mlp,amihud,0.948007,0.014754,0.920491,0.976259,36,407.0
mlp,log_mktcap,0.919611,0.025244,0.861966,0.956553,36,407.0
mlp,ret_12m,0.943796,0.017554,0.907127,0.975597,36,407.0
mlp,ret_1m,0.947973,0.015671,0.909759,0.975503,36,407.0
mlp,ret_1w,0.944684,0.015467,0.905215,0.972857,36,407.0
mlp,ret_3m,0.93793,0.017117,0.899854,0.965416,36,407.0
mlp,ret_6m,0.941728,0.0186,0.89266,0.971371,36,407.0
mlp,vol_1m,0.922082,0.017469,0.887048,0.957519,36,407.0
mlp,vol_3m,0.933516,0.016815,0.904431,0.964793,36,407.0
mlp,vol_ratio,0.940912,0.017583,0.90192,0.968515,36,407.0
ridge,amihud,0.979588,0.005561,0.967529,0.991629,36,407.0
ridge,log_mktcap,0.787064,0.017281,0.735279,0.828965,36,407.0
ridge,ret_12m,0.947078,0.025541,0.898029,0.98721,36,407.0
ridge,ret_1m,0.972409,0.010722,0.949469,0.989662,36,407.0
ridge,ret_1w,0.999548,0.00064,0.997587,0.999999,36,407.0
ridge,ret_3m,0.974207,0.0151,0.939551,0.999199,36,407.0
ridge,ret_6m,0.958943,0.008963,0.938987,0.974502,36,407.0
ridge,vol_1m,0.970632,0.015084,0.93751,0.998802,36,407.0
ridge,vol_3m,0.993282,0.004977,0.979804,0.999989,36,407.0
ridge,vol_ratio,0.979605,0.006136,0.963253,0.98811,36,407.0
xgboost,amihud,0.986873,0.013018,0.944247,1.0,36,407.0
xgboost,log_mktcap,0.858788,0.031378,0.803506,0.914875,36,407.0
xgboost,ret_12m,0.968942,0.029612,0.855021,0.994374,36,407.0
xgboost,ret_1m,0.959124,0.018116,0.90363,0.990417,36,407.0
xgboost,ret_1w,0.990877,0.011754,0.957529,1.0,36,407.0
xgboost,ret_3m,0.953356,0.042384,0.849062,0.997694,36,407.0
xgboost,ret_6m,0.976609,0.01806,0.918202,0.998267,36,407.0
xgboost,vol_1m,0.987606,0.021027,0.912918,1.0,36,407.0
xgboost,vol_3m,0.987866,0.015851,0.937701,1.0,36,407.0
xgboost,vol_ratio,0.976718,0.020073,0.920879,1.0,36,407.0
