model,score_type,value
ridge,CS4_arithmetic,0.61938
ridge,CS4_geometric,0.432936
ridge,CS4_rms,0.689587
ridge,CS3_arithmetic,0.554394
ridge,CS3_geometric,0.384744
ridge,CS3_rms,0.637997
ridge,delta_arithmetic,0.064985
ridge,delta_geometric,0.048191
ridge,delta_rms,0.051589
xgboost,CS4_arithmetic,0.6589
xgboost,CS4_geometric,0.571528
xgboost,CS4_rms,0.70344
xgboost,CS3_arithmetic,0.602792
xgboost,CS3_geometric,0.52398
xgboost,CS3_rms,0.653189
xgboost,delta_arithmetic,0.056109
xgboost,delta_geometric,0.047548
xgboost,delta_rms,0.050251
mlp,CS4_arithmetic,0.629384
mlp,CS4_geometric,0.562622
mlp,CS4_rms,0.658389
mlp,CS3_arithmetic,0.560631
mlp,CS3_geometric,0.510728
mlp,CS3_rms,0.583357
mlp,delta_arithmetic,0.068753
mlp,delta_geometric,0.051894
mlp,delta_rms,0.075032
