date,model,k_removed,n_removed_segments,fraction_data_removed,RGA,random_RGA,n_assets_full,n_assets_remaining
2023-01-02,ridge,0,0,0.0,0.708823,0.48578,407,407
2023-01-02,ridge,1,1,0.1,0.65803,0.492026,407,366
2023-01-02,ridge,2,2,0.2,0.6501,0.480066,407,325
2023-01-02,ridge,3,3,0.3,0.635261,0.48701,407,284
2023-01-02,ridge,4,4,0.4,0.636651,0.483777,407,243
2023-01-02,ridge,5,5,0.5,0.654456,0.491872,407,202
2023-01-02,ridge,6,6,0.6,0.608441,0.4995,407,161
2023-01-02,ridge,7,7,0.7,0.656081,0.53159,407,120
2023-01-02,ridge,8,8,0.8,0.621207,0.545407,407,80
2023-01-02,ridge,9,9,0.9,0.616494,0.498906,407,40
2023-01-02,ridge,10,10,1.0,0.0,0.0,407,0
2023-02-01,ridge,0,0,0.0,0.509831,0.521715,407,407
2023-02-01,ridge,1,1,0.1,0.521771,0.517604,407,366
2023-02-01,ridge,2,2,0.2,0.500744,0.523786,407,325
2023-02-01,ridge,3,3,0.3,0.509213,0.530527,407,284
2023-02-01,ridge,4,4,0.4,0.486336,0.529002,407,243
2023-02-01,ridge,5,5,0.5,0.472529,0.522333,407,202
2023-02-01,ridge,6,6,0.6,0.507068,0.521703,407,161
2023-02-01,ridge,7,7,0.7,0.537036,0.514135,407,120
2023-02-01,ridge,8,8,0.8,0.63394,0.53217,407,80
2023-02-01,ridge,9,9,0.9,0.536298,0.600489,407,40
2023-02-01,ridge,10,10,1.0,0.0,0.0,407,0
2023-03-01,ridge,0,0,0.0,0.402875,0.520544,407,407
2023-03-01,ridge,1,1,0.1,0.418792,0.502572,407,366
2023-03-01,ridge,2,2,0.2,0.419532,0.489194,407,325
2023-03-01,ridge,3,3,0.3,0.399912,0.46551,407,284
2023-03-01,ridge,4,4,0.4,0.394741,0.452113,407,243
2023-03-01,ridge,5,5,0.5,0.416252,0.464782,407,202
2023-03-01,ridge,6,6,0.6,0.454739,0.450051,407,161
2023-03-01,ridge,7,7,0.7,0.462049,0.483234,407,120
2023-03-01,ridge,8,8,0.8,0.405761,0.532211,407,80
2023-03-01,ridge,9,9,0.9,0.394644,0.535502,407,40
2023-03-01,ridge,10,10,1.0,0.0,0.0,407,0
2023-04-03,ridge,0,0,0.0,0.502895,0.500656,407,407
2023-04-03,ridge,1,1,0.1,0.499641,0.522763,407,366
2023-04-03,ridge,2,2,0.2,0.509006,0.522287,407,325
2023-04-03,ridge,3,3,0.3,0.529498,0.520179,407,284
2023-04-03,ridge,4,4,0.4,0.53058,0.530248,407,243
