model,k_removed,fraction_data_removed,mean_RGA,std_RGA,min_RGA,max_RGA,mean_random_RGA,std_random_RGA,min_random_RGA,max_random_RGA,n_dates,mean_n_assets_full,mean_n_assets_remaining
mlp,0,0.0,0.499052,0.044166,0.425122,0.590431,0.499312,0.023722,0.452254,0.54563,36,407.0,407.0
mlp,1,0.1,0.497277,0.043766,0.419891,0.579567,0.498843,0.028792,0.440257,0.557418,36,407.0,366.0
mlp,2,0.2,0.494105,0.042316,0.389526,0.596058,0.497446,0.03058,0.443869,0.554591,36,407.0,325.0
mlp,3,0.3,0.500118,0.045866,0.401603,0.606715,0.499677,0.03076,0.442075,0.55854,36,407.0,284.0
mlp,4,0.4,0.500404,0.050741,0.396028,0.600178,0.499363,0.033252,0.431774,0.569685,36,407.0,243.0
mlp,5,0.5,0.50435,0.052966,0.39514,0.595459,0.501293,0.036904,0.426748,0.578994,36,407.0,202.0
mlp,6,0.6,0.507005,0.054257,0.383687,0.610656,0.498658,0.039328,0.400086,0.574437,36,407.0,161.0
mlp,7,0.7,0.497721,0.053172,0.384099,0.613735,0.503104,0.045356,0.397037,0.592194,36,407.0,120.0
mlp,8,0.8,0.510864,0.069237,0.376082,0.65997,0.497155,0.053824,0.38549,0.61538,36,407.0,80.0
mlp,9,0.9,0.510394,0.095344,0.313665,0.702485,0.493846,0.062392,0.387952,0.625122,36,407.0,40.0
mlp,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,407.0,0.0
ridge,0,0.0,0.490373,0.062739,0.394148,0.708823,0.505781,0.019415,0.452497,0.546104,36,407.0,407.0
ridge,1,0.1,0.486952,0.05298,0.395266,0.65803,0.507719,0.022461,0.443079,0.541337,36,407.0,366.0
ridge,2,0.2,0.487769,0.053934,0.378596,0.6501,0.508481,0.024333,0.432969,0.54882,36,407.0,325.0
ridge,3,0.3,0.490917,0.05727,0.399912,0.635261,0.509513,0.02801,0.426176,0.556156,36,407.0,284.0
ridge,4,0.4,0.490886,0.057728,0.394741,0.636651,0.513805,0.030152,0.447656,0.570203,36,407.0,243.0
ridge,5,0.5,0.499634,0.05826,0.416252,0.654456,0.516308,0.029016,0.457533,0.577552,36,407.0,202.0
ridge,6,0.6,0.488808,0.052243,0.369062,0.64154,0.516564,0.034263,0.447138,0.581731,36,407.0,161.0
ridge,7,0.7,0.476064,0.061863,0.302565,0.656081,0.51742,0.038507,0.431384,0.59618,36,407.0,120.0
ridge,8,0.8,0.477569,0.080369,0.287583,0.646898,0.524774,0.043489,0.436905,0.599738,36,407.0,80.0
ridge,9,0.9,0.481394,0.087978,0.297084,0.639189,0.537949,0.06558,0.400319,0.7276,36,407.0,40.0
ridge,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,407.0,0.0
xgboost,0,0.0,0.505411,0.056415,0.402645,0.695319,0.501101,0.023444,0.46128,0.54352,32,407.0,407.0
xgboost,1,0.1,0.499227,0.053713,0.414986,0.654696,0.500414,0.023437,0.460587,0.542803,32,407.0,366.0
xgboost,2,0.2,0.499122,0.064205,0.386331,0.696736,0.499527,0.025085,0.447062,0.536397,32,407.0,325.0
xgboost,3,0.3,0.49803,0.063087,0.372117,0.680507,0.499857,0.023515,0.449366,0.546066,32,407.0,284.0
xgboost,4,0.4,0.504776,0.061853,0.366723,0.697913,0.496027,0.028239,0.45292,0.553827,32,407.0,243.0
xgboost,5,0.5,0.502782,0.063035,0.372075,0.696305,0.498656,0.028576,0.448597,0.551332,32,407.0,202.0
xgboost,6,0.6,0.505632,0.065234,0.405577,0.718682,0.49886,0.030794,0.421784,0.559629,32,407.0,161.0
xgboost,7,0.7,0.506456,0.070727,0.35209,0.737181,0.500092,0.040026,0.427179,0.577972,32,407.0,120.0
xgboost,8,0.8,0.490626,0.080967,0.30428,0.636412,0.49856,0.0374,0.412075,0.577098,32,407.0,80.0
xgboost,9,0.9,0.505085,0.070378,0.369657,0.664806,0.485926,0.066243,0.375005,0.628934,32,407.0,40.0
xgboost,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,407.0,0.0
