date,model,model_date,k_removed,n_removed_features,fraction_features_removed,removed_features,RGE_star,n_assets
2023-01-02,ridge,2023-01-02,0,0,0.0,,1.0,407
2023-01-02,ridge,2023-01-02,1,1,0.1,ret_1w,0.999896,407
2023-01-02,ridge,2023-01-02,2,2,0.2,ret_1w;ret_3m,0.998631,407
2023-01-02,ridge,2023-01-02,3,3,0.3,ret_1w;ret_3m;vol_1m,0.996618,407
2023-01-02,ridge,2023-01-02,4,4,0.4,ret_1w;ret_3m;vol_1m;vol_3m,0.998321,407
2023-01-02,ridge,2023-01-02,5,5,0.5,ret_1w;ret_3m;vol_1m;vol_3m;vol_ratio,0.991097,407
2023-01-02,ridge,2023-01-02,6,6,0.6,ret_1w;ret_3m;vol_1m;vol_3m;vol_ratio;ret_1m,0.958351,407
2023-01-02,ridge,2023-01-02,7,7,0.7,ret_1w;ret_3m;vol_1m;vol_3m;vol_ratio;ret_1m;amihud,0.925052,407
2023-01-02,ridge,2023-01-02,8,8,0.8,ret_1w;ret_3m;vol_1m;vol_3m;vol_ratio;ret_1m;amihud;ret_6m,0.919204,407
2023-01-02,ridge,2023-01-02,9,9,0.9,ret_1w;ret_3m;vol_1m;vol_3m;vol_ratio;ret_1m;amihud;ret_6m;ret_12m,0.885663,407
2023-01-02,ridge,2023-01-02,10,10,1.0,ret_1w;ret_3m;vol_1m;vol_3m;vol_ratio;ret_1m;amihud;ret_6m;ret_12m;log_mktcap,0.5,407
2023-02-01,ridge,2023-02-01,0,0,0.0,,1.0,407
2023-02-01,ridge,2023-02-01,1,1,0.1,ret_3m,0.99922,407
2023-02-01,ridge,2023-02-01,2,2,0.2,ret_3m;ret_1w,0.997761,407
2023-02-01,ridge,2023-02-01,3,3,0.3,ret_3m;ret_1w;vol_3m,0.993535,407
2023-02-01,ridge,2023-02-01,4,4,0.4,ret_3m;ret_1w;vol_3m;vol_1m,0.990305,407
2023-02-01,ridge,2023-02-01,5,5,0.5,ret_3m;ret_1w;vol_3m;vol_1m;vol_ratio,0.985022,407
2023-02-01,ridge,2023-02-01,6,6,0.6,ret_3m;ret_1w;vol_3m;vol_1m;vol_ratio;amihud,0.950044,407
2023-02-01,ridge,2023-02-01,7,7,0.7,ret_3m;ret_1w;vol_3m;vol_1m;vol_ratio;amihud;ret_1m,0.922416,407
2023-02-01,ridge,2023-02-01,8,8,0.8,ret_3m;ret_1w;vol_3m;vol_1m;vol_ratio;amihud;ret_1m;ret_6m,0.895102,407
2023-02-01,ridge,2023-02-01,9,9,0.9,ret_3m;ret_1w;vol_3m;vol_1m;vol_ratio;amihud;ret_1m;ret_6m;ret_12m,0.884565,407
2023-02-01,ridge,2023-02-01,10,10,1.0,ret_3m;ret_1w;vol_3m;vol_1m;vol_ratio;amihud;ret_1m;ret_6m;ret_12m;log_mktcap,0.5,407
2023-03-01,ridge,2023-03-01,0,0,0.0,,1.0,407
2023-03-01,ridge,2023-03-01,1,1,0.1,ret_1w,0.997721,407
2023-03-01,ridge,2023-03-01,2,2,0.2,ret_1w;ret_3m,0.996621,407
2023-03-01,ridge,2023-03-01,3,3,0.3,ret_1w;ret_3m;vol_3m,0.992184,407
2023-03-01,ridge,2023-03-01,4,4,0.4,ret_1w;ret_3m;vol_3m;vol_1m,0.993388,407
2023-03-01,ridge,2023-03-01,5,5,0.5,ret_1w;ret_3m;vol_3m;vol_1m;vol_ratio,0.991793,407
2023-03-01,ridge,2023-03-01,6,6,0.6,ret_1w;ret_3m;vol_3m;vol_1m;vol_ratio;amihud,0.943774,407
2023-03-01,ridge,2023-03-01,7,7,0.7,ret_1w;ret_3m;vol_3m;vol_1m;vol_ratio;amihud;ret_1m,0.896932,407
2023-03-01,ridge,2023-03-01,8,8,0.8,ret_1w;ret_3m;vol_3m;vol_1m;vol_ratio;amihud;ret_1m;ret_6m,0.889088,407
2023-03-01,ridge,2023-03-01,9,9,0.9,ret_1w;ret_3m;vol_3m;vol_1m;vol_ratio;amihud;ret_1m;ret_6m;ret_12m,0.847558,407
2023-03-01,ridge,2023-03-01,10,10,1.0,ret_1w;ret_3m;vol_3m;vol_1m;vol_ratio;amihud;ret_1m;ret_6m;ret_12m;log_mktcap,0.5,407
2023-04-03,ridge,2023-04-03,0,0,0.0,,1.0,407
2023-04-03,ridge,2023-04-03,1,1,0.1,ret_1w,0.998867,407
2023-04-03,ridge,2023-04-03,2,2,0.2,ret_1w;ret_3m,0.99552,407
2023-04-03,ridge,2023-04-03,3,3,0.3,ret_1w;ret_3m;vol_3m,0.991223,407
2023-04-03,ridge,2023-04-03,4,4,0.4,ret_1w;ret_3m;vol_3m;vol_1m,0.988614,407
2023-04-03,ridge,2023-04-03,5,5,0.5,ret_1w;ret_3m;vol_3m;vol_1m;vol_ratio,0.995051,407
2023-04-03,ridge,2023-04-03,6,6,0.6,ret_1w;ret_3m;vol_3m;vol_1m;vol_ratio;amihud,0.963099,407
2023-04-03,ridge,2023-04-03,7,7,0.7,ret_1w;ret_3m;vol_3m;vol_1m;vol_ratio;amihud;ret_1m,0.940973,407
2023-04-03,ridge,2023-04-03,8,8,0.8,ret_1w;ret_3m;vol_3m;vol_1m;vol_ratio;amihud;ret_1m;ret_6m,0.93018,407
2023-04-03,ridge,2023-04-03,9,9,0.9,ret_1w;ret_3m;vol_3m;vol_1m;vol_ratio;amihud;ret_1m;ret_6m;ret_12m,0.899137,407
2023-04-03,ridge,2023-04-03,10,10,1.0,ret_1w;ret_3m;vol_3m;vol_1m;vol_ratio;amihud;ret_1m;ret_6m;ret_12m;log_mktcap,0.5,407
2023-05-01,ridge,2023-05-01,0,0,0.0,,1.0,407
2023-05-01,ridge,2023-05-01,1,1,0.1,ret_1w,0.999832,407
2023-05-01,ridge,2023-05-01,2,2,0.2,ret_1w;vol_3m,0.994086,407
2023-05-01,ridge,2023-05-01,3,3,0.3,ret_1w;vol_3m;ret_3m,0.991427,407
2023-05-01,ridge,2023-05-01,4,4,0.4,ret_1w;vol_3m;ret_3m;vol_1m,0.989524,407
2023-05-01,ridge,2023-05-01,5,5,0.5,ret_1w;vol_3m;ret_3m;vol_1m;vol_ratio,0.991635,407
2023-05-01,ridge,2023-05-01,6,6,0.6,ret_1w;vol_3m;ret_3m;vol_1m;vol_ratio;ret_1m,0.949904,407
