date,model,model_date,rank,variable,RGE,order_type
2023-01-02,ridge,2023-01-02,1,ret_1w,0.000104,date_specific_ascending_RGE
2023-01-02,ridge,2023-01-02,2,ret_3m,0.001244,date_specific_ascending_RGE
2023-01-02,ridge,2023-01-02,3,vol_1m,0.001282,date_specific_ascending_RGE
2023-01-02,ridge,2023-01-02,4,vol_3m,0.001348,date_specific_ascending_RGE
2023-01-02,ridge,2023-01-02,5,vol_ratio,0.011405,date_specific_ascending_RGE
2023-01-02,ridge,2023-01-02,6,ret_1m,0.032415,date_specific_ascending_RGE
2023-01-02,ridge,2023-01-02,7,amihud,0.037119,date_specific_ascending_RGE
2023-01-02,ridge,2023-01-02,8,ret_6m,0.043615,date_specific_ascending_RGE
2023-01-02,ridge,2023-01-02,9,ret_12m,0.068263,date_specific_ascending_RGE
2023-01-02,ridge,2023-01-02,10,log_mktcap,0.51516,date_specific_ascending_RGE
2023-02-01,ridge,2023-02-01,1,ret_3m,0.00078,date_specific_ascending_RGE
2023-02-01,ridge,2023-02-01,2,ret_1w,0.002262,date_specific_ascending_RGE
2023-02-01,ridge,2023-02-01,3,vol_3m,0.003749,date_specific_ascending_RGE
2023-02-01,ridge,2023-02-01,4,vol_1m,0.013788,date_specific_ascending_RGE
2023-02-01,ridge,2023-02-01,5,vol_ratio,0.025892,date_specific_ascending_RGE
2023-02-01,ridge,2023-02-01,6,amihud,0.044567,date_specific_ascending_RGE
2023-02-01,ridge,2023-02-01,7,ret_1m,0.05485,date_specific_ascending_RGE
2023-02-01,ridge,2023-02-01,8,ret_6m,0.071267,date_specific_ascending_RGE
2023-02-01,ridge,2023-02-01,9,ret_12m,0.115846,date_specific_ascending_RGE
2023-02-01,ridge,2023-02-01,10,log_mktcap,0.576863,date_specific_ascending_RGE
2023-03-01,ridge,2023-03-01,1,ret_1w,0.002279,date_specific_ascending_RGE
2023-03-01,ridge,2023-03-01,2,ret_3m,0.003954,date_specific_ascending_RGE
2023-03-01,ridge,2023-03-01,3,vol_3m,0.004891,date_specific_ascending_RGE
2023-03-01,ridge,2023-03-01,4,vol_1m,0.01126,date_specific_ascending_RGE
2023-03-01,ridge,2023-03-01,5,vol_ratio,0.016313,date_specific_ascending_RGE
2023-03-01,ridge,2023-03-01,6,amihud,0.046636,date_specific_ascending_RGE
2023-03-01,ridge,2023-03-01,7,ret_1m,0.054693,date_specific_ascending_RGE
2023-03-01,ridge,2023-03-01,8,ret_6m,0.070159,date_specific_ascending_RGE
2023-03-01,ridge,2023-03-01,9,ret_12m,0.103388,date_specific_ascending_RGE
2023-03-01,ridge,2023-03-01,10,log_mktcap,0.493958,date_specific_ascending_RGE
2023-04-03,ridge,2023-04-03,1,ret_1w,0.001133,date_specific_ascending_RGE
2023-04-03,ridge,2023-04-03,2,ret_3m,0.003841,date_specific_ascending_RGE
2023-04-03,ridge,2023-04-03,3,vol_3m,0.00416,date_specific_ascending_RGE
2023-04-03,ridge,2023-04-03,4,vol_1m,0.0109,date_specific_ascending_RGE
2023-04-03,ridge,2023-04-03,5,vol_ratio,0.01132,date_specific_ascending_RGE
2023-04-03,ridge,2023-04-03,6,amihud,0.032446,date_specific_ascending_RGE
2023-04-03,ridge,2023-04-03,7,ret_1m,0.041207,date_specific_ascending_RGE
2023-04-03,ridge,2023-04-03,8,ret_6m,0.051577,date_specific_ascending_RGE
2023-04-03,ridge,2023-04-03,9,ret_12m,0.079536,date_specific_ascending_RGE
2023-04-03,ridge,2023-04-03,10,log_mktcap,0.515195,date_specific_ascending_RGE
2023-05-01,ridge,2023-05-01,1,ret_1w,0.000168,date_specific_ascending_RGE
2023-05-01,ridge,2023-05-01,2,vol_3m,0.00577,date_specific_ascending_RGE
2023-05-01,ridge,2023-05-01,3,ret_3m,0.006156,date_specific_ascending_RGE
2023-05-01,ridge,2023-05-01,4,vol_1m,0.009328,date_specific_ascending_RGE
2023-05-01,ridge,2023-05-01,5,vol_ratio,0.011818,date_specific_ascending_RGE
2023-05-01,ridge,2023-05-01,6,ret_1m,0.029929,date_specific_ascending_RGE
2023-05-01,ridge,2023-05-01,7,amihud,0.039038,date_specific_ascending_RGE
2023-05-01,ridge,2023-05-01,8,ret_6m,0.053721,date_specific_ascending_RGE
2023-05-01,ridge,2023-05-01,9,ret_12m,0.08291,date_specific_ascending_RGE
2023-05-01,ridge,2023-05-01,10,log_mktcap,0.473971,date_specific_ascending_RGE
2023-06-01,ridge,2023-06-01,1,ret_1w,0.000449,date_specific_ascending_RGE
2023-06-01,ridge,2023-06-01,2,ret_3m,0.004504,date_specific_ascending_RGE
2023-06-01,ridge,2023-06-01,3,vol_3m,0.005208,date_specific_ascending_RGE
2023-06-01,ridge,2023-06-01,4,vol_1m,0.009687,date_specific_ascending_RGE
2023-06-01,ridge,2023-06-01,5,vol_ratio,0.012916,date_specific_ascending_RGE
2023-06-01,ridge,2023-06-01,6,ret_1m,0.041296,date_specific_ascending_RGE
2023-06-01,ridge,2023-06-01,7,amihud,0.043576,date_specific_ascending_RGE
2023-06-01,ridge,2023-06-01,8,ret_6m,0.053802,date_specific_ascending_RGE
2023-06-01,ridge,2023-06-01,9,ret_12m,0.090514,date_specific_ascending_RGE
2023-06-01,ridge,2023-06-01,10,log_mktcap,0.526317,date_specific_ascending_RGE
2023-07-03,ridge,2023-07-03,1,ret_1w,0.000405,date_specific_ascending_RGE
2023-07-03,ridge,2023-07-03,2,vol_3m,0.003065,date_specific_ascending_RGE
2023-07-03,ridge,2023-07-03,3,ret_3m,0.008785,date_specific_ascending_RGE
2023-07-03,ridge,2023-07-03,4,vol_1m,0.009619,date_specific_ascending_RGE
2023-07-03,ridge,2023-07-03,5,vol_ratio,0.012254,date_specific_ascending_RGE
