model,k_removed,fraction_features_removed,mean_RGE_star,std_RGE_star,min_RGE_star,max_RGE_star,n_dates,mean_n_assets
mlp,0,0.0,1.0,0.0,1.0,1.0,36,407.0
mlp,1,0.1,0.889281,0.016039,0.856059,0.922104,36,407.0
mlp,2,0.2,0.802178,0.024194,0.754454,0.850597,36,407.0
mlp,3,0.3,0.738493,0.037032,0.666765,0.832778,36,407.0
mlp,4,0.4,0.697427,0.043035,0.615671,0.784618,36,407.0
mlp,5,0.5,0.659875,0.05773,0.558403,0.787591,36,407.0
mlp,6,0.6,0.623472,0.071416,0.472301,0.767575,36,407.0
mlp,7,0.7,0.617203,0.081095,0.461642,0.77506,36,407.0
mlp,8,0.8,0.584675,0.102242,0.375878,0.764362,36,407.0
mlp,9,0.9,0.560234,0.0938,0.382865,0.776872,36,407.0
mlp,10,1.0,0.500016,0.001657,0.49597,0.505449,36,407.0
ridge,0,0.0,1.0,0.0,1.0,1.0,36,407.0
ridge,1,0.1,0.999613,0.000517,0.997721,0.999999,36,407.0
ridge,2,0.2,0.992798,0.005653,0.975779,0.99999,36,407.0
ridge,3,0.3,0.978444,0.011891,0.953769,0.996618,36,407.0
ridge,4,0.4,0.963171,0.022064,0.92318,0.998321,36,407.0
ridge,5,0.5,0.949355,0.040055,0.857363,0.995051,36,407.0
ridge,6,0.6,0.910273,0.03126,0.846265,0.963099,36,407.0
ridge,7,0.7,0.887319,0.024712,0.821354,0.940973,36,407.0
ridge,8,0.8,0.866571,0.041858,0.776715,0.93018,36,407.0
ridge,9,0.9,0.877189,0.021705,0.835402,0.933039,36,407.0
ridge,10,1.0,0.5,0.0,0.5,0.5,36,407.0
xgboost,0,0.0,1.0,0.0,1.0,1.0,36,407.0
xgboost,1,0.1,0.995737,0.006716,0.980104,1.0,36,407.0
xgboost,2,0.2,0.98769,0.016669,0.941603,1.0,36,407.0
xgboost,3,0.3,0.975211,0.028671,0.900998,1.0,36,407.0
xgboost,4,0.4,0.960088,0.038991,0.876329,1.0,36,407.0
xgboost,5,0.5,0.940957,0.052959,0.808567,0.99756,36,407.0
xgboost,6,0.6,0.918608,0.06945,0.759942,0.988947,36,407.0
xgboost,7,0.7,0.892752,0.091141,0.682278,0.981147,36,407.0
xgboost,8,0.8,0.860745,0.115544,0.556263,0.963175,36,407.0
xgboost,9,0.9,0.790462,0.088131,0.525156,0.885429,36,407.0
xgboost,10,1.0,0.5,0.0,0.5,0.5,36,407.0
