date,model,sector,sector_RGA,sector_rank_by_RGA,n_assets_sector
2023-01-02,ridge,Health Care,0.720599,3,54
2023-01-02,ridge,Information Technology,0.67658,5,56
2023-01-02,ridge,Financials,0.575539,7,65
2023-01-02,ridge,Consumer Staples,0.659458,6,28
2023-01-02,ridge,Industrials,0.736163,2,65
2023-01-02,ridge,Utilities,0.715426,4,20
2023-01-02,ridge,Materials,0.509301,9,21
2023-01-02,ridge,Real Estate,0.441279,10,26
2023-01-02,ridge,Consumer Discretionary,0.739814,1,41
2023-01-02,ridge,Communication Services,0.513037,8,13
2023-01-02,ridge,Energy,0.425453,11,18
2023-02-01,ridge,Health Care,0.47822,9,54
2023-02-01,ridge,Information Technology,0.369805,10,56
2023-02-01,ridge,Financials,0.63148,4,65
2023-02-01,ridge,Consumer Staples,0.695733,1,28
2023-02-01,ridge,Industrials,0.354445,11,65
2023-02-01,ridge,Utilities,0.652252,2,20
2023-02-01,ridge,Materials,0.591542,6,21
2023-02-01,ridge,Real Estate,0.629951,5,26
2023-02-01,ridge,Consumer Discretionary,0.492005,8,41
2023-02-01,ridge,Communication Services,0.646258,3,13
2023-02-01,ridge,Energy,0.538013,7,18
2023-03-01,ridge,Health Care,0.474778,3,54
2023-03-01,ridge,Information Technology,0.295167,9,56
2023-03-01,ridge,Financials,0.341551,8,65
2023-03-01,ridge,Consumer Staples,0.431673,4,28
2023-03-01,ridge,Industrials,0.361007,7,65
2023-03-01,ridge,Utilities,0.242285,10,20
2023-03-01,ridge,Materials,0.474782,2,21
2023-03-01,ridge,Real Estate,0.204739,11,26
2023-03-01,ridge,Consumer Discretionary,0.378066,6,41
2023-03-01,ridge,Communication Services,0.513748,1,13
2023-03-01,ridge,Energy,0.402363,5,18
2023-04-03,ridge,Health Care,0.526854,4,54
2023-04-03,ridge,Information Technology,0.432542,7,56
2023-04-03,ridge,Financials,0.4151,8,65
2023-04-03,ridge,Consumer Staples,0.498114,5,28
2023-04-03,ridge,Industrials,0.551206,3,65
2023-04-03,ridge,Utilities,0.369434,9,20
2023-04-03,ridge,Materials,0.301901,11,21
2023-04-03,ridge,Real Estate,0.640969,2,26
2023-04-03,ridge,Consumer Discretionary,0.347896,10,41
2023-04-03,ridge,Communication Services,0.464043,6,13
2023-04-03,ridge,Energy,0.727422,1,18
2023-05-01,ridge,Health Care,0.427695,7,54
2023-05-01,ridge,Information Technology,0.380225,9,56
2023-05-01,ridge,Financials,0.414103,8,65
2023-05-01,ridge,Consumer Staples,0.510636,5,28
2023-05-01,ridge,Industrials,0.491243,6,65
2023-05-01,ridge,Utilities,0.658966,1,20
2023-05-01,ridge,Materials,0.277629,10,21
2023-05-01,ridge,Real Estate,0.244169,11,26
2023-05-01,ridge,Consumer Discretionary,0.586323,4,41
2023-05-01,ridge,Communication Services,0.611493,2,13
2023-05-01,ridge,Energy,0.603626,3,18
2023-06-01,ridge,Health Care,0.631306,3,54
2023-06-01,ridge,Information Technology,0.476175,9,56
2023-06-01,ridge,Financials,0.417452,10,65
2023-06-01,ridge,Consumer Staples,0.569691,7,28
2023-06-01,ridge,Industrials,0.631135,4,65
2023-06-01,ridge,Utilities,0.738293,1,20
2023-06-01,ridge,Materials,0.274795,11,21
2023-06-01,ridge,Real Estate,0.623367,6,26
2023-06-01,ridge,Consumer Discretionary,0.623594,5,41
2023-06-01,ridge,Communication Services,0.665339,2,13
2023-06-01,ridge,Energy,0.542943,8,18
2023-07-03,ridge,Health Care,0.589206,3,54
2023-07-03,ridge,Information Technology,0.518115,7,56
2023-07-03,ridge,Financials,0.557005,4,65
2023-07-03,ridge,Consumer Staples,0.555916,5,28
2023-07-03,ridge,Industrials,0.510364,8,65
2023-07-03,ridge,Utilities,0.683959,1,20
2023-07-03,ridge,Materials,0.637243,2,21
2023-07-03,ridge,Real Estate,0.482408,10,26
2023-07-03,ridge,Consumer Discretionary,0.521301,6,41
2023-07-03,ridge,Communication Services,0.49262,9,13
2023-07-03,ridge,Energy,0.449672,11,18
2023-08-01,ridge,Health Care,0.37643,10,54
2023-08-01,ridge,Information Technology,0.589817,3,56
2023-08-01,ridge,Financials,0.674688,1,65
2023-08-01,ridge,Consumer Staples,0.42534,9,28
2023-08-01,ridge,Industrials,0.517807,5,65
2023-08-01,ridge,Utilities,0.502664,7,20
2023-08-01,ridge,Materials,0.446368,8,21
2023-08-01,ridge,Real Estate,0.529566,4,26
2023-08-01,ridge,Consumer Discretionary,0.507883,6,41
2023-08-01,ridge,Communication Services,0.258283,11,13
2023-08-01,ridge,Energy,0.662612,2,18
2023-09-01,ridge,Health Care,0.473048,7,54
2023-09-01,ridge,Information Technology,0.619134,1,56
2023-09-01,ridge,Financials,0.404845,9,65
2023-09-01,ridge,Consumer Staples,0.410876,8,28
2023-09-01,ridge,Industrials,0.510207,6,65
2023-09-01,ridge,Utilities,0.59274,2,20
2023-09-01,ridge,Materials,0.53927,3,21
2023-09-01,ridge,Real Estate,0.324322,10,26
2023-09-01,ridge,Consumer Discretionary,0.512559,5,41
2023-09-01,ridge,Communication Services,0.516315,4,13
2023-09-01,ridge,Energy,0.143189,11,18
2023-10-02,ridge,Health Care,0.282621,11,54
2023-10-02,ridge,Information Technology,0.29131,10,56
2023-10-02,ridge,Financials,0.450076,4,65
2023-10-02,ridge,Consumer Staples,0.474442,3,28
2023-10-02,ridge,Industrials,0.449017,5,65
2023-10-02,ridge,Utilities,0.366962,7,20
2023-10-02,ridge,Materials,0.374426,6,21
2023-10-02,ridge,Real Estate,0.321734,9,26
2023-10-02,ridge,Consumer Discretionary,0.347928,8,41
2023-10-02,ridge,Communication Services,0.524781,2,13
2023-10-02,ridge,Energy,0.892743,1,18
2023-11-01,ridge,Health Care,0.71128,3,54
2023-11-01,ridge,Information Technology,0.590283,5,56
2023-11-01,ridge,Financials,0.731111,2,65
2023-11-01,ridge,Consumer Staples,0.534109,6,28
2023-11-01,ridge,Industrials,0.532576,7,65
2023-11-01,ridge,Utilities,0.829159,1,20
2023-11-01,ridge,Materials,0.459761,8,21
2023-11-01,ridge,Real Estate,0.440485,10,26
