date,model,k,fraction_sector_gap_path,RGF_star,sector_gap,best_sector,comparison_sector,best_sector_RGA,comparison_sector_RGA,n_valid_sectors,n_assets,n_assets_best_sector,n_assets_comparison_sector
2023-01-02,ridge,0,0.0,1.0,0.0,Consumer Discretionary,Consumer Discretionary,0.739814,0.739814,11,407,41,41
2023-01-02,ridge,1,0.1,0.996349,0.003651,Consumer Discretionary,Industrials,0.739814,0.736163,11,407,41,65
2023-01-02,ridge,2,0.2,0.980786,0.019214,Consumer Discretionary,Health Care,0.739814,0.720599,11,407,41,54
2023-01-02,ridge,3,0.3,0.975612,0.024388,Consumer Discretionary,Utilities,0.739814,0.715426,11,407,41,20
2023-01-02,ridge,4,0.4,0.936766,0.063234,Consumer Discretionary,Information Technology,0.739814,0.67658,11,407,41,56
2023-01-02,ridge,5,0.5,0.919644,0.080356,Consumer Discretionary,Consumer Staples,0.739814,0.659458,11,407,41,28
2023-01-02,ridge,6,0.6,0.835725,0.164275,Consumer Discretionary,Financials,0.739814,0.575539,11,407,41,65
2023-01-02,ridge,7,0.7,0.773223,0.226777,Consumer Discretionary,Communication Services,0.739814,0.513037,11,407,41,13
2023-01-02,ridge,8,0.8,0.769487,0.230513,Consumer Discretionary,Materials,0.739814,0.509301,11,407,41,21
2023-01-02,ridge,9,0.9,0.701465,0.298535,Consumer Discretionary,Real Estate,0.739814,0.441279,11,407,41,26
2023-01-02,ridge,10,1.0,0.685639,0.314361,Consumer Discretionary,Energy,0.739814,0.425453,11,407,41,18
2023-02-01,ridge,0,0.0,1.0,0.0,Consumer Staples,Consumer Staples,0.695733,0.695733,11,407,28,28
2023-02-01,ridge,1,0.1,0.956519,0.043481,Consumer Staples,Utilities,0.695733,0.652252,11,407,28,20
2023-02-01,ridge,2,0.2,0.950525,0.049475,Consumer Staples,Communication Services,0.695733,0.646258,11,407,28,13
2023-02-01,ridge,3,0.3,0.935747,0.064253,Consumer Staples,Financials,0.695733,0.63148,11,407,28,65
2023-02-01,ridge,4,0.4,0.934218,0.065782,Consumer Staples,Real Estate,0.695733,0.629951,11,407,28,26
2023-02-01,ridge,5,0.5,0.895809,0.104191,Consumer Staples,Materials,0.695733,0.591542,11,407,28,21
2023-02-01,ridge,6,0.6,0.84228,0.15772,Consumer Staples,Energy,0.695733,0.538013,11,407,28,18
2023-02-01,ridge,7,0.7,0.796272,0.203728,Consumer Staples,Consumer Discretionary,0.695733,0.492005,11,407,28,41
2023-02-01,ridge,8,0.8,0.782487,0.217513,Consumer Staples,Health Care,0.695733,0.47822,11,407,28,54
2023-02-01,ridge,9,0.9,0.674072,0.325928,Consumer Staples,Information Technology,0.695733,0.369805,11,407,28,56
2023-02-01,ridge,10,1.0,0.658712,0.341288,Consumer Staples,Industrials,0.695733,0.354445,11,407,28,65
2023-03-01,ridge,0,0.0,1.0,0.0,Communication Services,Communication Services,0.513748,0.513748,11,407,13,13
2023-03-01,ridge,1,0.1,0.961033,0.038967,Communication Services,Materials,0.513748,0.474782,11,407,13,21
2023-03-01,ridge,2,0.2,0.961029,0.038971,Communication Services,Health Care,0.513748,0.474778,11,407,13,54
2023-03-01,ridge,3,0.3,0.917925,0.082075,Communication Services,Consumer Staples,0.513748,0.431673,11,407,13,28
2023-03-01,ridge,4,0.4,0.888615,0.111385,Communication Services,Energy,0.513748,0.402363,11,407,13,18
2023-03-01,ridge,5,0.5,0.864318,0.135682,Communication Services,Consumer Discretionary,0.513748,0.378066,11,407,13,41
2023-03-01,ridge,6,0.6,0.847258,0.152742,Communication Services,Industrials,0.513748,0.361007,11,407,13,65
2023-03-01,ridge,7,0.7,0.827803,0.172197,Communication Services,Financials,0.513748,0.341551,11,407,13,65
2023-03-01,ridge,8,0.8,0.781419,0.218581,Communication Services,Information Technology,0.513748,0.295167,11,407,13,56
2023-03-01,ridge,9,0.9,0.728536,0.271464,Communication Services,Utilities,0.513748,0.242285,11,407,13,20
2023-03-01,ridge,10,1.0,0.69099,0.30901,Communication Services,Real Estate,0.513748,0.204739,11,407,13,26
2023-04-03,ridge,0,0.0,1.0,0.0,Energy,Energy,0.727422,0.727422,11,407,18,18
2023-04-03,ridge,1,0.1,0.913547,0.086453,Energy,Real Estate,0.727422,0.640969,11,407,18,26
2023-04-03,ridge,2,0.2,0.823784,0.176216,Energy,Industrials,0.727422,0.551206,11,407,18,65
2023-04-03,ridge,3,0.3,0.799432,0.200568,Energy,Health Care,0.727422,0.526854,11,407,18,54
2023-04-03,ridge,4,0.4,0.770692,0.229308,Energy,Consumer Staples,0.727422,0.498114,11,407,18,28
2023-04-03,ridge,5,0.5,0.73662,0.26338,Energy,Communication Services,0.727422,0.464043,11,407,18,13
2023-04-03,ridge,6,0.6,0.705119,0.294881,Energy,Information Technology,0.727422,0.432542,11,407,18,56
2023-04-03,ridge,7,0.7,0.687678,0.312322,Energy,Financials,0.727422,0.4151,11,407,18,65
2023-04-03,ridge,8,0.8,0.642012,0.357988,Energy,Utilities,0.727422,0.369434,11,407,18,20
2023-04-03,ridge,9,0.9,0.620474,0.379526,Energy,Consumer Discretionary,0.727422,0.347896,11,407,18,41
2023-04-03,ridge,10,1.0,0.574479,0.425521,Energy,Materials,0.727422,0.301901,11,407,18,21
2023-05-01,ridge,0,0.0,1.0,0.0,Utilities,Utilities,0.658966,0.658966,11,407,20,20
2023-05-01,ridge,1,0.1,0.952527,0.047473,Utilities,Communication Services,0.658966,0.611493,11,407,20,13
2023-05-01,ridge,2,0.2,0.944661,0.055339,Utilities,Energy,0.658966,0.603626,11,407,20,18
2023-05-01,ridge,3,0.3,0.927357,0.072643,Utilities,Consumer Discretionary,0.658966,0.586323,11,407,20,41
2023-05-01,ridge,4,0.4,0.851671,0.148329,Utilities,Consumer Staples,0.658966,0.510636,11,407,20,28
