model,k,fraction_sector_gap_path,mean_RGF_star,std_RGF_star,min_RGF_star,max_RGF_star,mean_sector_gap,std_sector_gap,min_sector_gap,max_sector_gap,n_dates,mean_n_valid_sectors,mean_n_assets
mlp,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,36,11.0,407.0
mlp,1,0.1,0.947964,0.053558,0.736539,0.997884,0.052036,0.053558,0.002116,0.263461,36,11.0,407.0
mlp,2,0.2,0.910301,0.058573,0.690233,0.983449,0.089699,0.058573,0.016551,0.309767,36,11.0,407.0
mlp,3,0.3,0.887294,0.063161,0.683671,0.976833,0.112706,0.063161,0.023167,0.316329,36,11.0,407.0
mlp,4,0.4,0.864602,0.063693,0.653625,0.954795,0.135398,0.063693,0.045205,0.346375,36,11.0,407.0
mlp,5,0.5,0.837587,0.065982,0.64448,0.953672,0.162413,0.065982,0.046328,0.35552,36,11.0,407.0
mlp,6,0.6,0.816198,0.065921,0.639388,0.913591,0.183802,0.065921,0.086409,0.360612,36,11.0,407.0
mlp,7,0.7,0.791708,0.072944,0.589912,0.896718,0.208292,0.072944,0.103282,0.410088,36,11.0,407.0
mlp,8,0.8,0.760692,0.071784,0.574993,0.865696,0.239308,0.071784,0.134304,0.425007,36,11.0,407.0
mlp,9,0.9,0.715627,0.074735,0.4836,0.842215,0.284373,0.074735,0.157785,0.5164,36,11.0,407.0
mlp,10,1.0,0.660104,0.09395,0.422415,0.835776,0.339896,0.09395,0.164224,0.577585,36,11.0,407.0
ridge,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,36,11.0,407.0
ridge,1,0.1,0.940738,0.073545,0.632039,0.997706,0.059262,0.073545,0.002294,0.367961,36,11.0,407.0
ridge,2,0.2,0.905138,0.08208,0.5817,0.994146,0.094862,0.08208,0.005854,0.4183,36,11.0,407.0
ridge,3,0.3,0.866595,0.084012,0.557333,0.983911,0.133405,0.084012,0.016089,0.442667,36,11.0,407.0
ridge,4,0.4,0.838687,0.092326,0.556275,0.980824,0.161313,0.092326,0.019176,0.443725,36,11.0,407.0
ridge,5,0.5,0.816258,0.094305,0.481683,0.945558,0.183742,0.094305,0.054442,0.518317,36,11.0,407.0
ridge,6,0.6,0.791442,0.088416,0.474219,0.913234,0.208558,0.088416,0.086766,0.525781,36,11.0,407.0
ridge,7,0.7,0.757661,0.089167,0.455185,0.894787,0.242339,0.089167,0.105213,0.544815,36,11.0,407.0
ridge,8,0.8,0.733673,0.089717,0.428992,0.89387,0.266327,0.089717,0.10613,0.571008,36,11.0,407.0
ridge,9,0.9,0.691533,0.089357,0.398567,0.855846,0.308467,0.089357,0.144154,0.601433,36,11.0,407.0
ridge,10,1.0,0.615959,0.11142,0.245121,0.788688,0.384041,0.11142,0.211312,0.754879,36,11.0,407.0
xgboost,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,36,11.0,407.0
xgboost,1,0.1,0.941959,0.057737,0.772785,0.999824,0.058041,0.057737,0.000176,0.227215,36,11.0,407.0
xgboost,2,0.2,0.899188,0.070971,0.72427,0.987209,0.100812,0.070971,0.012791,0.27573,36,11.0,407.0
xgboost,3,0.3,0.875319,0.080678,0.699327,0.976117,0.124681,0.080678,0.023883,0.300673,36,11.0,407.0
xgboost,4,0.4,0.85572,0.079661,0.675519,0.968902,0.14428,0.079661,0.031098,0.324481,36,11.0,407.0
xgboost,5,0.5,0.825034,0.080688,0.619885,0.963111,0.174966,0.080688,0.036889,0.380115,36,11.0,407.0
xgboost,6,0.6,0.805961,0.086483,0.590698,0.926501,0.194039,0.086483,0.073499,0.409302,36,11.0,407.0
xgboost,7,0.7,0.782828,0.086368,0.577189,0.906005,0.217172,0.086368,0.093995,0.422811,36,11.0,407.0
xgboost,8,0.8,0.7525,0.093733,0.548416,0.90481,0.2475,0.093733,0.09519,0.451584,36,11.0,407.0
xgboost,9,0.9,0.713662,0.086052,0.528936,0.879583,0.286338,0.086052,0.120417,0.471064,36,11.0,407.0
xgboost,10,1.0,0.647317,0.114598,0.366598,0.81644,0.352683,0.114598,0.18356,0.633402,36,11.0,407.0
