date,model,group,perturbation_percentage,RGR,n_assets,model_date
2023-01-02,ridge,all_features,0.0,1.0,407,2023-01-02
2023-01-02,ridge,all_features,0.05,0.720147,407,2023-01-02
2023-01-02,ridge,all_features,0.1,0.528069,407,2023-01-02
2023-01-02,ridge,all_features,0.15,0.396344,407,2023-01-02
2023-01-02,ridge,all_features,0.2,0.297843,407,2023-01-02
2023-01-02,ridge,all_features,0.25,0.20185,407,2023-01-02
2023-01-02,ridge,all_features,0.3,0.12946,407,2023-01-02
2023-01-02,ridge,all_features,0.35,0.066411,407,2023-01-02
2023-01-02,ridge,all_features,0.4,0.022821,407,2023-01-02
2023-01-02,ridge,all_features,0.45,0.003608,407,2023-01-02
2023-01-02,ridge,all_features,0.5,0.0,407,2023-01-02
2023-02-01,ridge,all_features,0.0,1.0,407,2023-02-01
2023-02-01,ridge,all_features,0.05,0.7292,407,2023-02-01
2023-02-01,ridge,all_features,0.1,0.550562,407,2023-02-01
2023-02-01,ridge,all_features,0.15,0.440502,407,2023-02-01
2023-02-01,ridge,all_features,0.2,0.347841,407,2023-02-01
2023-02-01,ridge,all_features,0.25,0.254461,407,2023-02-01
2023-02-01,ridge,all_features,0.3,0.164774,407,2023-02-01
2023-02-01,ridge,all_features,0.35,0.087523,407,2023-02-01
2023-02-01,ridge,all_features,0.4,0.031584,407,2023-02-01
2023-02-01,ridge,all_features,0.45,0.004252,407,2023-02-01
2023-02-01,ridge,all_features,0.5,0.0,407,2023-02-01
2023-03-01,ridge,all_features,0.0,1.0,407,2023-03-01
2023-03-01,ridge,all_features,0.05,0.734148,407,2023-03-01
2023-03-01,ridge,all_features,0.1,0.555262,407,2023-03-01
2023-03-01,ridge,all_features,0.15,0.439556,407,2023-03-01
2023-03-01,ridge,all_features,0.2,0.334462,407,2023-03-01
2023-03-01,ridge,all_features,0.25,0.238536,407,2023-03-01
2023-03-01,ridge,all_features,0.3,0.176246,407,2023-03-01
2023-03-01,ridge,all_features,0.35,0.082733,407,2023-03-01
2023-03-01,ridge,all_features,0.4,0.029903,407,2023-03-01
2023-03-01,ridge,all_features,0.45,0.003791,407,2023-03-01
2023-03-01,ridge,all_features,0.5,0.0,407,2023-03-01
2023-04-03,ridge,all_features,0.0,1.0,407,2023-04-03
2023-04-03,ridge,all_features,0.05,0.737886,407,2023-04-03
2023-04-03,ridge,all_features,0.1,0.546017,407,2023-04-03
2023-04-03,ridge,all_features,0.15,0.427766,407,2023-04-03
2023-04-03,ridge,all_features,0.2,0.335901,407,2023-04-03
2023-04-03,ridge,all_features,0.25,0.211938,407,2023-04-03
2023-04-03,ridge,all_features,0.3,0.134456,407,2023-04-03
2023-04-03,ridge,all_features,0.35,0.069069,407,2023-04-03
2023-04-03,ridge,all_features,0.4,0.02362,407,2023-04-03
2023-04-03,ridge,all_features,0.45,0.003323,407,2023-04-03
2023-04-03,ridge,all_features,0.5,0.0,407,2023-04-03
2023-05-01,ridge,all_features,0.0,1.0,407,2023-05-01
2023-05-01,ridge,all_features,0.05,0.757689,407,2023-05-01
2023-05-01,ridge,all_features,0.1,0.573147,407,2023-05-01
2023-05-01,ridge,all_features,0.15,0.423806,407,2023-05-01
2023-05-01,ridge,all_features,0.2,0.304326,407,2023-05-01
2023-05-01,ridge,all_features,0.25,0.190261,407,2023-05-01
2023-05-01,ridge,all_features,0.3,0.126122,407,2023-05-01
2023-05-01,ridge,all_features,0.35,0.059333,407,2023-05-01
2023-05-01,ridge,all_features,0.4,0.023993,407,2023-05-01
2023-05-01,ridge,all_features,0.45,0.003485,407,2023-05-01
2023-05-01,ridge,all_features,0.5,0.0,407,2023-05-01
2023-06-01,ridge,all_features,0.0,1.0,407,2023-06-01
2023-06-01,ridge,all_features,0.05,0.750149,407,2023-06-01
2023-06-01,ridge,all_features,0.1,0.59014,407,2023-06-01
2023-06-01,ridge,all_features,0.15,0.433047,407,2023-06-01
2023-06-01,ridge,all_features,0.2,0.310771,407,2023-06-01
2023-06-01,ridge,all_features,0.25,0.223743,407,2023-06-01
2023-06-01,ridge,all_features,0.3,0.132767,407,2023-06-01
2023-06-01,ridge,all_features,0.35,0.069455,407,2023-06-01
2023-06-01,ridge,all_features,0.4,0.028443,407,2023-06-01
2023-06-01,ridge,all_features,0.45,0.003285,407,2023-06-01
2023-06-01,ridge,all_features,0.5,0.0,407,2023-06-01
2023-07-03,ridge,all_features,0.0,1.0,407,2023-07-03
2023-07-03,ridge,all_features,0.05,0.762527,407,2023-07-03
2023-07-03,ridge,all_features,0.1,0.598113,407,2023-07-03
2023-07-03,ridge,all_features,0.15,0.452756,407,2023-07-03
2023-07-03,ridge,all_features,0.2,0.324139,407,2023-07-03
2023-07-03,ridge,all_features,0.25,0.244346,407,2023-07-03
2023-07-03,ridge,all_features,0.3,0.151166,407,2023-07-03
2023-07-03,ridge,all_features,0.35,0.078004,407,2023-07-03
2023-07-03,ridge,all_features,0.4,0.028092,407,2023-07-03
2023-07-03,ridge,all_features,0.45,0.002754,407,2023-07-03
2023-07-03,ridge,all_features,0.5,0.0,407,2023-07-03
2023-08-01,ridge,all_features,0.0,1.0,407,2023-08-01
2023-08-01,ridge,all_features,0.05,0.746564,407,2023-08-01
2023-08-01,ridge,all_features,0.1,0.594985,407,2023-08-01
2023-08-01,ridge,all_features,0.15,0.445455,407,2023-08-01
2023-08-01,ridge,all_features,0.2,0.31628,407,2023-08-01
2023-08-01,ridge,all_features,0.25,0.239251,407,2023-08-01
2023-08-01,ridge,all_features,0.3,0.156067,407,2023-08-01
2023-08-01,ridge,all_features,0.35,0.074963,407,2023-08-01
2023-08-01,ridge,all_features,0.4,0.027494,407,2023-08-01
2023-08-01,ridge,all_features,0.45,0.003643,407,2023-08-01
2023-08-01,ridge,all_features,0.5,0.0,407,2023-08-01
2023-09-01,ridge,all_features,0.0,1.0,407,2023-09-01
2023-09-01,ridge,all_features,0.05,0.713599,407,2023-09-01
2023-09-01,ridge,all_features,0.1,0.569967,407,2023-09-01
2023-09-01,ridge,all_features,0.15,0.427227,407,2023-09-01
2023-09-01,ridge,all_features,0.2,0.328877,407,2023-09-01
2023-09-01,ridge,all_features,0.25,0.239709,407,2023-09-01
2023-09-01,ridge,all_features,0.3,0.165258,407,2023-09-01
2023-09-01,ridge,all_features,0.35,0.082342,407,2023-09-01
2023-09-01,ridge,all_features,0.4,0.027185,407,2023-09-01
2023-09-01,ridge,all_features,0.45,0.003755,407,2023-09-01
2023-09-01,ridge,all_features,0.5,0.0,407,2023-09-01
2023-10-02,ridge,all_features,0.0,1.0,407,2023-10-02
2023-10-02,ridge,all_features,0.05,0.725093,407,2023-10-02
2023-10-02,ridge,all_features,0.1,0.566362,407,2023-10-02
2023-10-02,ridge,all_features,0.15,0.420262,407,2023-10-02
2023-10-02,ridge,all_features,0.2,0.324849,407,2023-10-02
2023-10-02,ridge,all_features,0.25,0.235766,407,2023-10-02
2023-10-02,ridge,all_features,0.3,0.145828,407,2023-10-02
2023-10-02,ridge,all_features,0.35,0.081589,407,2023-10-02
2023-10-02,ridge,all_features,0.4,0.02677,407,2023-10-02
2023-10-02,ridge,all_features,0.45,0.003271,407,2023-10-02
2023-10-02,ridge,all_features,0.5,0.0,407,2023-10-02
2023-11-01,ridge,all_features,0.0,1.0,407,2023-11-01
2023-11-01,ridge,all_features,0.05,0.756413,407,2023-11-01
2023-11-01,ridge,all_features,0.1,0.539632,407,2023-11-01
2023-11-01,ridge,all_features,0.15,0.405607,407,2023-11-01
2023-11-01,ridge,all_features,0.2,0.316012,407,2023-11-01
2023-11-01,ridge,all_features,0.25,0.222046,407,2023-11-01
2023-11-01,ridge,all_features,0.3,0.132084,407,2023-11-01
2023-11-01,ridge,all_features,0.35,0.065897,407,2023-11-01
2023-11-01,ridge,all_features,0.4,0.023047,407,2023-11-01
2023-11-01,ridge,all_features,0.45,0.003173,407,2023-11-01
2023-11-01,ridge,all_features,0.5,0.0,407,2023-11-01
2023-12-01,ridge,all_features,0.0,1.0,407,2023-12-01
2023-12-01,ridge,all_features,0.05,0.727663,407,2023-12-01
2023-12-01,ridge,all_features,0.1,0.555125,407,2023-12-01
2023-12-01,ridge,all_features,0.15,0.414877,407,2023-12-01
2023-12-01,ridge,all_features,0.2,0.319629,407,2023-12-01
2023-12-01,ridge,all_features,0.25,0.219933,407,2023-12-01
2023-12-01,ridge,all_features,0.3,0.166612,407,2023-12-01
2023-12-01,ridge,all_features,0.35,0.076003,407,2023-12-01
2023-12-01,ridge,all_features,0.4,0.030371,407,2023-12-01
2023-12-01,ridge,all_features,0.45,0.003988,407,2023-12-01
2023-12-01,ridge,all_features,0.5,0.0,407,2023-12-01
2024-01-01,ridge,all_features,0.0,1.0,407,2024-01-01
2024-01-01,ridge,all_features,0.05,0.73292,407,2024-01-01
2024-01-01,ridge,all_features,0.1,0.53372,407,2024-01-01
2024-01-01,ridge,all_features,0.15,0.418021,407,2024-01-01
2024-01-01,ridge,all_features,0.2,0.326883,407,2024-01-01
2024-01-01,ridge,all_features,0.25,0.224759,407,2024-01-01
2024-01-01,ridge,all_features,0.3,0.149328,407,2024-01-01
2024-01-01,ridge,all_features,0.35,0.080918,407,2024-01-01
2024-01-01,ridge,all_features,0.4,0.032144,407,2024-01-01
2024-01-01,ridge,all_features,0.45,0.003638,407,2024-01-01
2024-01-01,ridge,all_features,0.5,0.0,407,2024-01-01
2024-02-01,ridge,all_features,0.0,1.0,407,2024-02-01
2024-02-01,ridge,all_features,0.05,0.735343,407,2024-02-01
2024-02-01,ridge,all_features,0.1,0.539884,407,2024-02-01
2024-02-01,ridge,all_features,0.15,0.416937,407,2024-02-01
2024-02-01,ridge,all_features,0.2,0.294635,407,2024-02-01
