model,perturbation_percentage,mean_RGR,std_RGR,min_RGR,max_RGR,n_dates,mean_n_assets
mlp,0.0,1.0,0.0,1.0,1.0,36,407.0
mlp,0.05,0.708164,0.033576,0.654807,0.774743,36,407.0
mlp,0.1,0.576082,0.028843,0.517047,0.639753,36,407.0
mlp,0.15,0.509118,0.024342,0.455559,0.566313,36,407.0
mlp,0.2,0.469351,0.037645,0.399199,0.555383,36,407.0
mlp,0.25,0.446171,0.040168,0.377665,0.525592,36,407.0
mlp,0.3,0.43161,0.043978,0.354214,0.512693,36,407.0
mlp,0.35,0.421532,0.046839,0.337068,0.515312,36,407.0
mlp,0.4,0.417527,0.051734,0.338464,0.535624,36,407.0
mlp,0.45,0.413628,0.052354,0.323778,0.526798,36,407.0
mlp,0.5,0.413512,0.0543,0.318799,0.539405,36,407.0
ridge,0.0,1.0,0.0,1.0,1.0,36,407.0
ridge,0.05,0.737356,0.015887,0.709914,0.779574,36,407.0
ridge,0.1,0.559521,0.02124,0.525341,0.604755,36,407.0
ridge,0.15,0.425331,0.019655,0.380261,0.461688,36,407.0
ridge,0.2,0.315944,0.018385,0.275186,0.347841,36,407.0
ridge,0.25,0.221441,0.01739,0.175391,0.254461,36,407.0
ridge,0.3,0.140135,0.016232,0.100873,0.176246,36,407.0
ridge,0.35,0.071466,0.009413,0.048842,0.092703,36,407.0
ridge,0.4,0.025386,0.003699,0.016357,0.032144,36,407.0
ridge,0.45,0.003337,0.000417,0.002456,0.004252,36,407.0
ridge,0.5,0.0,0.0,0.0,0.0,36,407.0
xgboost,0.0,1.0,0.0,1.0,1.0,36,407.0
xgboost,0.05,0.743877,0.059216,0.637453,0.846445,36,407.0
xgboost,0.1,0.58653,0.056897,0.489743,0.728774,36,407.0
xgboost,0.15,0.474682,0.052969,0.372403,0.605248,36,407.0
xgboost,0.2,0.374493,0.053617,0.261554,0.476059,36,407.0
xgboost,0.25,0.332176,0.064062,0.196523,0.454693,36,407.0
xgboost,0.3,0.319464,0.072425,0.170319,0.476643,36,407.0
xgboost,0.35,0.309544,0.076339,0.18423,0.492722,36,407.0
xgboost,0.4,0.304565,0.076232,0.175488,0.474969,36,407.0
xgboost,0.45,0.3036,0.077607,0.176256,0.469541,36,407.0
xgboost,0.5,0.303794,0.077439,0.174885,0.470624,36,407.0
